,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,jmonkeyengine.csv,e-bio-flow.csv,tmva.csv,joustsim.csv,reaper3d.csv,jchassis.csv,chaosrts.csv,thedata.csv
array4j.csv,0.62,0.7,0.93,0.52,0.57,0.49,0.53,0.58,0.39,0.53,0.9,0.64,0.93,0.58,0.44,0.48
chaosrts.csv,0.5,0.44,0.48,0.79,0.65,0.49,0.43,0.45,0.35,0.41,0.49,0.41,0.41,0.47,0.49,0.35
dxengine.csv,0.58,0.71,0.48,0.48,0.64,0.67,0.69,0.7,0.5,0.81,0.82,0.65,0.43,0.6,0.84,0.47
e-bio-flow.csv,0.83,0.47,0.77,0.52,0.59,0.65,0.49,0.42,0.9,0.5,0.56,0.86,0.44,0.0,0.65,0.47
jbpm.csv,0.9,0.83,0.67,0.5,0.88,0.5,0.73,0.86,0.75,0.87,0.0,0.8,0.0,0.0,0.55,0.83
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0
jmoney.csv,0.38,0.38,0.37,0.36,0.45,0.35,0.43,0.46,0.38,0.32,0.39,0.37,0.4,0.47,0.41,0.37
jmonkeyengine.csv,0.59,0.59,0.43,0.77,0.53,0.78,0.66,0.57,0.57,0.5,0.45,0.9,0.51,0.61,0.93,0.41
joustsim.csv,0.67,0.59,0.45,0.7,0.43,0.7,0.51,0.64,0.38,0.59,0.5,0.67,0.4,0.65,0.88,0.71
jsidplay2.csv,0.52,0.75,0.91,0.39,0.95,0.5,0.73,0.93,0.46,0.93,0.93,0.48,0.79,0.89,0.47,0.38
log4net.csv,0.48,0.42,0.93,0.71,0.9,0.54,0.74,0.95,0.75,0.49,0.94,0.39,0.94,0.0,0.47,0.41
piccolo2d.csv,0.67,0.4,0.8,0.65,0.7,0.49,0.83,0.93,0.75,0.72,0.72,0.7,0.86,0.0,0.41,0.56
reaper3d.csv,0.5,0.56,0.38,0.45,0.56,0.7,0.53,0.65,0.85,0.55,0.55,0.83,0.45,0.73,0.95,0.5
sblim.csv,0.36,0.83,0.48,0.91,0.61,0.65,0.94,0.91,0.91,0.39,0.44,0.53,0.94,0.0,0.58,0.43
thedata.csv,0.42,0.47,0.43,0.43,0.51,0.49,0.51,0.49,0.59,0.48,0.42,0.61,0.35,0.62,0.46,0.89
tmva.csv,0.38,0.4,0.48,0.36,0.55,0.36,0.4,0.44,0.35,0.4,0.49,0.46,0.42,0.45,0.37,0.33
