,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.67,0.83,0.43,0.35,0.83,0.87,0.11,0.99,0.62,0.07,0.97,0.17,0.79,0.56
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.08,0.0,0.11,0.02
hydrate.csv,0.36,0.08,0.81,0.45,0.58,0.47,0.57,0.2,0.45,0.67,0.41,0.67,0.37,0.65
ivef-sdk.csv,0.72,0.25,0.53,0.7,0.6,0.0,0.74,0.0,0.79,0.79,0.03,1.0,0.0,0.67
jmri.csv,0.1,0.08,0.32,0.25,0.45,0.0,0.57,0.11,0.13,0.21,0.24,0.33,0.21,0.9
jython.csv,1.0,0.75,0.31,0.9,0.83,0.9,0.97,0.14,0.79,0.53,0.75,0.5,0.63,0.94
kdenlive.csv,0.33,0.42,0.42,0.85,0.53,0.83,0.4,0.99,0.61,0.72,0.63,0.5,0.68,0.67
opentibia.csv,0.28,0.25,0.24,0.25,0.51,0.03,0.86,0.18,0.02,0.05,0.42,0.0,0.68,0.13
projectfactory.csv,0.05,0.0,0.3,0.1,0.25,0.07,0.49,0.2,0.36,0.44,0.36,0.17,0.21,0.4
runuomondains.csv,0.21,0.08,0.67,0.8,0.51,1.0,0.8,0.21,0.31,0.93,0.19,0.17,0.47,0.73
somap.csv,1.0,0.92,0.79,0.85,0.87,1.0,0.86,1.0,1.0,0.81,0.93,0.0,1.0,0.83
taverna.csv,0.15,0.17,0.17,0.35,0.26,0.17,0.8,0.89,0.19,0.56,0.12,0.17,0.05,0.27
unbvision.csv,0.38,0.17,0.24,0.75,0.38,1.0,0.6,0.97,0.28,0.21,0.59,0.17,0.42,0.92
x-ray-mule.csv,0.26,0.0,0.15,0.35,0.53,0.0,0.29,0.01,0.82,0.7,0.02,0.33,0.05,0.15
