,lazarus-ccr.csv,plee-the-bear.csv,badtrinity-zero.csv,fw4spl.csv,mia.csv,kftpgrabber.csv,kolmafia.csv
badtrinity-zero.csv,0.25,0.69,0.66,0.62,0.61,0.67,0.35
fw4spl.csv,0.47,0.63,0.21,0.61,0.36,0.44,0.05
kftpgrabber.csv,0.47,0.18,0.4,0.68,0.38,0.84,0.62
kolmafia.csv,0.64,0.09,0.45,0.43,0.17,0.3,0.75
lazarus-ccr.csv,0.81,0.26,0.53,0.43,0.27,0.34,0.61
mia.csv,0.42,0.18,0.52,0.25,0.54,0.12,0.57
plee-the-bear.csv,0.28,0.78,0.45,0.7,0.43,0.61,0.54
