,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.32,0.04,0.28,0.43,0.04,0.51,0.53,0.0,0.25,0.34,0.42
empserver.csv,0.44,0.42,0.32,0.35,0.7,0.54,0.41,0.6,0.6,0.64,0.28
enlightenment.csv,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ffigo.csv,0.48,0.52,0.34,0.05,0.07,0.25,0.07,0.0,0.38,0.71,0.06
ildjit.csv,0.07,0.6,0.01,0.05,0.1,0.02,0.01,0.0,0.04,0.05,0.04
jfreereport.csv,0.12,0.0,0.09,0.41,0.13,0.11,0.27,0.0,0.05,0.3,0.34
lufa-lib.csv,0.45,0.53,0.42,0.55,0.17,0.57,0.66,0.29,0.3,0.64,0.61
pcsx2.csv,0.66,0.27,0.66,0.63,0.53,0.75,0.45,0.28,0.05,0.28,0.51
psycle.csv,0.74,0.48,0.53,0.6,0.63,0.57,0.41,0.36,0.09,0.57,0.46
wikipediardware.csv,0.67,0.35,0.0,0.54,0.13,0.46,0.0,0.3,0.13,0.5,0.8
wxjs.csv,0.04,0.0,0.04,0.06,0.04,0.07,0.01,0.67,0.0,0.09,0.06
