,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.4,0.04,0.22,0.48,0.05,0.59,0.53,0.0,0.33,0.43,0.51
empserver.csv,0.53,0.26,0.22,0.43,0.72,0.6,0.45,0.19,0.38,0.71,0.38
enlightenment.csv,0.79,0.37,0.23,0.72,0.69,0.79,0.6,0.15,0.36,0.78,0.84
ffigo.csv,0.55,0.44,0.14,0.07,0.1,0.32,0.11,0.0,0.27,0.76,0.09
ildjit.csv,0.11,0.67,0.01,0.08,0.15,0.04,0.01,0.0,0.05,0.08,0.05
jfreereport.csv,0.18,0.0,0.13,0.48,0.19,0.16,0.35,0.0,0.07,0.41,0.45
lufa-lib.csv,0.52,0.34,0.26,0.59,0.23,0.65,0.66,0.12,0.36,0.7,0.72
pcsx2.csv,0.72,0.2,0.28,0.7,0.67,0.8,0.58,0.07,0.35,0.37,0.6
psycle.csv,0.8,0.41,0.26,0.72,0.66,0.8,0.57,0.16,0.36,0.63,0.55
wikipediardware.csv,0.73,0.37,0.23,0.71,0.69,0.78,0.59,0.16,0.36,0.75,0.85
wxjs.csv,0.05,0.0,0.05,0.09,0.05,0.11,0.02,0.77,0.0,0.12,0.09
