,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.16,0.66,0.14,0.78,0.32,0.25,0.34,0.65,0.62,1.0
geotools.csv,0.08,0.67,0.32,0.5,0.35,0.67,1.0,0.7,0.11,0.5
gephex.csv,0.15,0.65,0.2,0.81,0.37,0.32,0.4,0.99,0.65,0.58
haggle.csv,0.09,1.0,0.26,0.62,0.35,0.2,0.37,0.6,0.58,0.8
java-gnome.csv,0.18,0.65,0.33,0.98,0.33,0.5,0.36,0.7,0.65,0.8
jgnash.csv,0.13,0.65,1.0,0.9,0.49,0.17,0.39,0.7,0.56,0.62
jrdf.csv,0.13,0.52,0.25,0.95,0.29,1.0,0.38,0.82,0.49,0.56
mpqc.csv,0.95,0.65,0.06,0.7,0.27,0.12,0.18,0.63,0.59,0.75
panda3d.csv,0.0,0.82,0.24,1.0,0.98,0.33,0.32,0.61,0.71,0.73
tencompetence.csv,0.24,0.48,0.15,0.83,0.23,0.2,0.2,0.67,0.98,0.26
