,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.53,0.48,0.44,0.49,0.53,0.64,0.55,0.45,0.51,1.0
geotools.csv,0.18,0.36,0.28,0.05,0.39,0.16,1.0,0.36,0.01,0.17
gephex.csv,0.34,0.55,0.54,0.59,0.67,0.61,0.61,1.0,0.34,0.45
haggle.csv,0.36,1.0,0.48,0.3,0.62,0.39,0.44,0.5,0.28,0.07
java-gnome.csv,0.57,0.48,0.66,0.99,0.59,0.74,0.61,0.31,0.41,0.58
jgnash.csv,0.34,0.41,1.0,0.37,0.56,0.09,0.38,0.31,0.13,0.29
jrdf.csv,0.18,0.18,0.4,0.73,0.25,1.0,0.51,0.16,0.13,0.26
mpqc.csv,0.96,0.45,0.26,0.28,0.43,0.23,0.34,0.46,0.48,0.74
panda3d.csv,0.0,0.23,0.32,0.02,1.0,0.16,0.35,0.23,0.21,0.2
tencompetence.csv,0.44,0.19,0.56,0.63,0.22,0.5,0.41,0.07,0.99,0.13
