,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.27,0.76,0.24,0.8,0.45,0.37,0.42,0.75,0.6,1.0
geotools.csv,0.1,0.44,0.27,0.07,0.35,0.22,1.0,0.44,0.01,0.22
gephex.csv,0.2,0.69,0.29,0.85,0.52,0.42,0.48,0.99,0.41,0.53
haggle.csv,0.16,1.0,0.33,0.39,0.48,0.32,0.39,0.6,0.34,0.12
java-gnome.csv,0.28,0.54,0.44,0.99,0.45,0.59,0.46,0.39,0.48,0.65
jgnash.csv,0.18,0.48,1.0,0.47,0.51,0.1,0.36,0.39,0.19,0.36
jrdf.csv,0.14,0.23,0.3,0.81,0.24,1.0,0.42,0.22,0.19,0.33
mpqc.csv,0.95,0.52,0.1,0.36,0.33,0.15,0.23,0.7,0.59,0.81
panda3d.csv,0.0,0.31,0.26,0.03,0.99,0.19,0.32,0.3,0.29,0.28
tencompetence.csv,0.3,0.24,0.25,0.74,0.21,0.32,0.28,0.1,0.99,0.15
