,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.8,0.89,0.8,0.82,0.79,0.73,0.55,0.9,0.58,1.0
geotools.csv,0.15,0.32,0.24,0.04,0.35,0.13,1.0,0.32,0.01,0.14
gephex.csv,0.3,0.74,0.52,0.89,0.88,0.6,0.6,1.0,0.3,0.48
haggle.csv,0.45,1.0,0.44,0.28,0.77,0.87,0.4,0.59,0.24,0.06
java-gnome.csv,0.6,0.46,0.64,1.0,0.69,0.73,0.62,0.27,0.38,0.55
jgnash.csv,0.3,0.38,1.0,0.32,0.52,0.07,0.34,0.27,0.11,0.25
jrdf.csv,0.15,0.15,0.36,0.7,0.21,1.0,0.48,0.13,0.11,0.23
mpqc.csv,0.95,0.43,0.24,0.25,0.42,0.2,0.32,0.8,0.6,0.89
panda3d.csv,0.0,0.19,0.28,0.02,1.0,0.13,0.31,0.2,0.18,0.17
tencompetence.csv,0.4,0.16,0.6,0.67,0.19,0.8,0.45,0.06,0.99,0.11
