,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.44,0.49,0.39,0.43,0.43,0.36,0.51,0.34,0.44,0.44
geotools.csv,0.84,0.78,0.95,0.75,0.69,0.67,0.67,0.82,0.89,0.94
gephex.csv,0.93,0.48,0.62,0.37,0.48,0.46,0.43,0.47,0.55,0.43
haggle.csv,0.42,0.55,0.71,0.58,0.44,0.32,0.55,0.39,0.58,0.8
java-gnome.csv,0.67,0.48,0.67,0.41,0.39,0.5,0.38,0.78,0.42,0.52
jgnash.csv,0.67,0.67,0.96,0.65,0.63,0.83,0.61,0.81,0.88,0.65
jrdf.csv,0.96,0.95,0.64,0.4,0.94,0.8,0.46,0.91,0.77,0.63
mpqc.csv,0.95,0.9,0.68,0.95,0.86,0.85,0.79,0.41,0.69,0.45
panda3d.csv,0.95,0.94,0.97,0.0,0.78,0.83,0.68,0.96,0.95,0.93
tencompetence.csv,0.97,0.92,0.6,0.41,0.85,0.42,0.6,0.83,0.62,0.78
