,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.77,0.83,0.84,0.81,0.77,0.56,0.43,0.85,0.65,0.0
geotools.csv,0.32,0.29,0.09,0.12,0.29,0.02,0.0,0.24,0.09,0.26
gephex.csv,0.31,0.73,0.37,0.75,0.66,0.32,0.36,0.02,0.28,0.65
haggle.csv,0.8,0.0,0.21,0.62,0.65,0.88,0.27,0.68,0.32,0.03
java-gnome.csv,0.51,0.44,0.22,0.06,0.62,0.19,0.43,0.2,0.37,0.26
jgnash.csv,0.37,0.37,0.0,0.12,0.24,0.08,0.21,0.2,0.16,0.29
jrdf.csv,0.19,0.24,0.19,0.12,0.22,0.0,0.32,0.05,0.22,0.35
mpqc.csv,0.01,0.41,0.63,0.38,0.5,0.39,0.56,0.83,0.74,0.56
panda3d.csv,0.19,0.07,0.15,0.0,0.01,0.07,0.25,0.22,0.13,0.12
tencompetence.csv,0.24,0.32,0.57,0.5,0.28,0.8,0.7,0.05,0.03,0.59
