,ontomorphtab.csv,delphilhlplib.csv,flexpay.csv,gabel.csv,img-browse-sort.csv,passwordsafe.csv,genoviz.csv
delphilhlplib.csv,0.38,0.33,0.28,0.35,0.21,0.51,0.67
flexpay.csv,0.14,1.0,0.26,0.22,0.76,0.54,0.42
gabel.csv,0.1,0.39,0.22,0.24,0.21,0.04,0.36
genoviz.csv,0.1,0.72,0.3,0.18,0.05,0.0,0.04
img-browse-sort.csv,0.24,0.94,0.46,0.45,0.18,0.22,0.64
ontomorphtab.csv,0.19,0.72,0.54,0.38,0.58,0.32,0.58
passwordsafe.csv,0.14,0.33,0.53,0.39,0.18,0.23,0.58
