,ontomorphtab.csv,delphilhlplib.csv,flexpay.csv,gabel.csv,img-browse-sort.csv,passwordsafe.csv,genoviz.csv
delphilhlplib.csv,0.67,0.73,0.5,0.82,0.65,0.63,0.71
flexpay.csv,0.42,0.0,0.51,0.76,0.53,0.52,0.87
gabel.csv,0.51,0.2,0.4,0.85,0.58,0.37,0.76
genoviz.csv,0.36,0.5,0.41,0.76,0.1,0.19,0.99
img-browse-sort.csv,0.68,0.24,0.57,0.79,0.78,0.61,0.74
ontomorphtab.csv,0.66,0.63,0.64,0.81,0.71,0.66,0.78
passwordsafe.csv,0.54,0.46,0.57,0.89,0.65,0.75,0.68
