,zealos.csv,openintents.csv,atomsite.csv,bullet.csv,tktoolkit.csv,pokenetonline.csv
atomsite.csv,0.66,0.77,0.0,0.78,0.77,0.74
bullet.csv,0.85,0.7,0.77,0.0,0.94,0.8
openintents.csv,1.03,0.09,0.65,0.63,0.78,0.53
pokenetonline.csv,0.99,0.76,0.89,0.74,0.99,0.0
tktoolkit.csv,0.72,0.9,0.89,0.8,0.17,0.93
zealos.csv,0.04,0.71,0.75,0.67,0.71,0.68
