,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.73,0.65,0.15,0.63,0.66,0.73,0.4,0.46,0.38,0.73,0.69,0.65,0.6,0.72
autowikibrowser.csv,0.74,0.64,0.31,0.67,0.66,0.62,0.68,0.67,0.5,0.53,0.67,0.73,0.72,0.5
cities3d.csv,0.45,0.05,0.28,0.56,0.24,0.69,0.01,0.45,0.0,0.3,0.36,0.55,0.0,0.05
kmatplot.csv,0.72,0.32,0.68,0.59,0.42,0.63,0.18,0.47,0.0,0.33,0.69,0.49,0.16,0.38
libarchive.csv,0.68,0.41,0.76,0.64,0.57,0.57,0.7,0.66,0.6,0.53,0.61,0.66,0.64,0.65
lphant.csv,0.72,0.47,0.67,0.63,0.6,0.79,0.52,0.66,0.49,0.5,0.74,0.74,0.71,0.59
mob-sen-plat.csv,0.7,0.56,0.76,0.59,0.58,0.7,0.68,0.68,0.53,0.52,0.66,0.34,0.45,0.63
mscore.csv,0.62,0.6,0.75,0.48,0.09,0.67,0.7,0.71,0.63,0.63,0.61,0.65,0.56,0.71
pidgin.csv,0.6,0.67,0.21,0.67,0.63,0.68,0.74,0.65,0.69,0.56,0.62,0.67,0.6,0.68
quickfast.csv,0.63,0.51,0.46,0.59,0.55,0.48,0.54,0.56,0.63,0.48,0.33,0.09,0.79,0.53
raygina.csv,0.66,0.79,0.0,0.32,0.27,0.47,0.05,0.6,0.33,0.38,0.55,0.4,0.35,0.27
riff-evolve.csv,0.68,0.48,0.11,0.65,0.62,0.72,0.64,0.45,0.24,0.68,0.68,0.61,0.58,0.42
upp-mirror.csv,0.57,0.46,0.18,0.47,0.71,0.19,0.47,0.49,0.33,0.45,0.17,0.51,0.47,0.26
wishmaster.csv,0.45,0.32,0.11,0.47,0.64,0.58,0.38,0.53,0.72,0.23,0.5,0.44,0.5,0.32
