,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
53,2,1,1,1,2,2,2,1,mclient-mume.csv
48,3,2,2,4,2,2,7,6,open-media-library.csv
46,4,5,5,11,4,3,15,18,beast-mcmc.csv
54,5,3,3,4,2,3,3,5,springside.csv
21,6,11,8,18,8,3,6,18,freelords.csv
16,7,2,6,9,1,3,13,14,joustsim.csv
25,8,3,1,3,4,7,9,11,jmoney.csv
14,9,0,0,0,0,1,3,4,jgnash.csv
15,11,0,1,1,0,1,1,0,atunes.csv
49,12,1,1,1,0,1,1,2,columba.csv
55,14,2,1,1,2,1,3,2,amanda.csv
47,15,0,4,4,4,7,13,11,archive-crawler.csv
18,16,0,3,4,3,7,10,10,openmeetings.csv
23,17,5,0,5,4,1,6,8,psycle.csv
13,18,0,2,2,1,6,6,6,dataobjectsdotnet.csv
24,19,1,2,2,1,1,3,2,lmms.csv
12,20,0,3,4,0,1,4,3,simplewebservices.csv
26,21,3,5,5,8,11,14,14,sigil.csv
56,22,8,5,7,8,12,15,16,ng4j.csv
45,23,2,3,4,3,4,5,5,aztec.csv
22,28,0,2,2,1,5,5,5,jaql.csv
17,29,1,1,1,1,2,3,3,lamp.csv
36,30,6,4,10,6,2,9,15,kdenlive.csv
31,31,5,4,3,7,10,12,12,galaxium.csv
5,32,1,3,3,9,10,17,17,geogebra.csv
11,34,3,5,6,4,4,6,11,heekscad.csv
6,35,1,2,5,2,3,8,8,flylegacy.csv
30,36,4,5,7,6,11,14,17,ktc.csv
37,37,3,6,8,6,12,17,18,qcad2.csv
29,38,3,4,3,5,5,5,7,open-beos.csv
38,39,2,2,2,2,4,4,5,pidgin.csv
51,40,3,4,5,4,4,3,14,owlib.csv
43,41,0,4,4,1,3,7,6,apolloplayer.csv
19,42,5,9,9,6,8,6,16,autowikibrowser.csv
28,43,2,2,2,2,8,9,9,adaptagrams.csv
27,44,10,6,14,10,5,15,18,truevision.csv
20,45,4,8,8,7,12,17,18,boost.csv
42,46,1,1,1,2,6,10,9,jstock.csv
52,47,7,7,10,5,5,6,15,yafdotnet.csv
44,48,4,5,3,5,7,11,13,jaolt.csv
50,49,1,2,2,1,2,2,3,selenium.csv
3,50,1,1,3,1,3,5,5,reactos-mirror.csv
8,51,3,10,8,4,8,10,12,grafx2.csv
35,53,5,4,8,6,5,11,12,xcmetadataservicestoolkit.csv
34,54,1,2,5,1,2,11,11,jcl.csv
39,55,6,5,12,7,1,9,16,xharbour.csv
7,56,0,0,1,1,5,7,6,jvcl.csv
4,57,2,2,7,1,1,6,8,abbot.csv
9,58,6,6,14,4,4,16,18,javaprofiler.csv
1,59,3,1,5,3,1,5,4,roolo.csv
10,60,1,3,3,5,7,7,9,theresa.csv
0,61,5,5,10,6,2,10,10,unicase.csv
33,62,4,5,8,7,7,13,17,glas.csv
40,63,0,1,3,2,3,7,6,tart.csv
41,64,1,3,5,1,7,10,12,psrchive.csv
32,65,0,0,0,0,1,2,1,poormans.csv
2,66,3,5,8,5,5,12,12,free-evolution.csv
