,id,max_bell,avge,median,bellwether
0,1,8,6.12,0.355,jbpm.csv
1,10,2,1.5,0.38,emftriple.csv
2,13,7,8.0,0.45,empyrean.csv
3,27,5,3.8,0.61,cme.csv
4,33,16,13.78,0.385,xined.csv
5,52,14,10.93,0.525,jicarilla.csv
