,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.61,0.72,0.0,0.75,0.75,0.65,0.9,0.47,0.67,0.97,0.86,0.75,0.86,0.62,0.41,0.91
customsagetv.csv,0.9,0.98,0.0,0.0,0.0,0.5,0.67,0.0,0.75,0.94,0.5,0.0,0.89,0.0,0.93,0.5
fluidium.csv,0.92,0.65,0.71,0.64,0.55,0.51,0.52,0.81,0.91,0.71,0.65,0.92,0.84,0.65,0.9,0.4
guineu.csv,0.67,0.96,0.49,0.4,0.58,0.61,0.94,0.63,0.71,0.61,0.84,0.53,0.73,0.91,0.8,0.73
inkscape.csv,0.43,0.71,0.67,0.62,0.79,0.84,0.45,0.7,0.85,0.62,0.76,0.7,0.59,0.5,0.61,0.9
mpqc.csv,0.62,0.96,0.5,0.5,0.72,0.93,0.91,0.72,0.86,0.98,0.73,0.76,0.93,0.73,0.86,0.81
nsis.csv,0.41,0.45,0.54,0.4,0.39,0.45,0.39,0.47,0.59,0.47,0.49,0.45,0.5,0.47,0.46,0.35
octave.csv,0.62,0.47,0.38,0.38,0.9,0.64,0.48,0.52,0.59,0.55,0.91,0.71,0.49,0.75,0.32,0.42
owfs.csv,0.42,0.96,0.43,0.9,0.9,0.86,0.91,0.5,0.47,0.9,0.8,0.83,0.45,0.75,0.46,0.56
owlib.csv,0.36,0.54,0.56,0.49,0.41,0.49,0.5,0.45,0.62,0.49,0.53,0.57,0.43,0.55,0.38,0.33
pamguard.csv,0.47,0.71,0.51,0.5,0.76,0.89,0.73,0.57,0.57,0.81,0.81,0.91,0.51,0.84,0.45,0.47
prelude.csv,0.36,0.45,0.47,0.43,0.39,0.46,0.35,0.43,0.5,0.52,0.46,0.43,0.41,0.47,0.33,0.38
robocode.csv,0.38,0.73,0.57,0.4,0.38,0.43,0.47,0.52,0.64,0.44,0.47,0.73,0.46,0.4,0.65,0.41
uwom-server.csv,0.76,0.97,0.75,0.88,0.93,0.86,0.92,0.57,0.59,0.84,0.91,0.8,0.68,0.88,0.61,0.55
zengine.csv,0.29,0.39,0.47,0.34,0.49,0.51,0.32,0.38,0.45,0.4,0.44,0.42,0.35,0.37,0.31,0.43
zildo.csv,0.52,0.78,0.69,0.8,0.94,0.97,0.8,0.53,0.55,0.82,0.89,0.9,0.45,0.88,0.42,0.91
