,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.44,0.9,0.44,0.77,0.71,0.74,0.92,0.93,0.62,0.23,0.62,0.42,0.83,0.41,0.62,0.01
chipster.csv,1.0,0.94,0.53,0.85,0.61,0.67,0.96,0.92,0.64,0.0,0.53,0.57,0.86,0.44,0.67,0.0
delphilhlplib.csv,0.58,0.84,0.47,0.9,0.5,0.61,1.0,0.91,0.72,0.36,0.57,0.46,0.73,0.39,0.63,0.0
emite.csv,0.75,0.85,0.41,0.73,0.64,0.57,0.88,0.91,0.46,0.19,0.63,0.54,0.76,0.42,0.61,0.0
hydrate.csv,0.22,0.88,0.42,0.91,0.59,0.79,0.97,0.88,0.71,0.21,0.68,0.41,0.93,0.41,0.71,0.01
ivataopenportal.csv,0.4,0.86,0.4,0.78,0.73,0.66,0.91,0.88,0.56,0.26,0.65,0.45,0.82,0.36,0.63,0.01
jppf-project.csv,0.44,0.84,0.4,0.85,0.45,0.64,0.99,0.86,0.62,0.18,0.57,0.44,0.72,0.33,0.62,0.01
kolmafia.csv,0.34,0.86,0.42,0.88,0.52,0.63,0.92,0.89,0.76,0.22,0.63,0.42,0.78,0.31,0.72,0.01
l2j.csv,0.32,0.85,0.45,0.75,0.67,0.64,0.9,0.89,0.6,0.21,0.61,0.44,0.83,0.3,0.77,0.0
mb-unit.csv,0.54,0.9,0.52,0.73,0.56,0.63,0.92,0.9,0.61,0.17,0.62,0.42,0.66,0.48,0.64,0.01
opde.csv,0.62,0.86,0.46,0.75,0.6,0.65,0.91,0.9,0.58,0.24,0.71,0.5,0.72,0.38,0.69,0.01
pamguard.csv,0.33,0.89,0.4,0.76,0.55,0.74,0.94,0.9,0.84,0.19,0.6,0.4,0.79,0.28,0.64,0.01
quark.csv,0.25,0.78,0.43,0.88,0.0,1.0,0.0,1.0,0.75,0.46,1.0,0.59,0.89,0.31,0.75,0.0
stajistics.csv,0.32,0.88,0.5,0.74,0.56,0.67,0.92,0.87,0.55,0.16,0.71,0.5,0.72,0.51,0.65,0.01
tigermud.csv,0.4,0.87,0.47,1.0,0.52,0.8,0.96,0.89,0.69,0.1,0.71,0.46,0.62,0.4,0.67,0.02
