,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.13,0.0,0.79,0.39,0.0,0.53,0.53,0.07,0.09,0.0,0.13
cubefs.csv,0.13,0.0,0.17,0.42,0.25,0.5,0.57,0.6,0.0,0.53,0.05
iaml.csv,0.57,0.42,0.69,0.39,0.82,0.33,0.65,0.36,0.0,0.45,0.63
ivataopenportal.csv,0.65,0.09,0.63,0.44,0.68,0.72,0.47,0.0,0.0,0.5,0.0
mb-unit.csv,0.0,0.47,0.49,0.65,0.0,0.0,0.47,0.33,0.21,0.42,0.53
mvdsv.csv,0.04,0.27,0.0,0.09,0.99,0.01,0.09,0.07,0.0,0.22,0.1
nova.csv,0.56,0.91,0.6,0.5,0.0,0.38,0.52,0.55,0.61,0.32,0.52
olex2.csv,0.13,0.5,0.54,0.59,0.62,0.05,0.58,0.53,0.0,0.66,0.75
openwbem.csv,0.66,0.27,0.48,0.54,0.68,0.44,0.33,0.59,0.89,0.4,0.61
xcmetadataservicestoolkit.csv,0.4,0.43,0.43,0.5,0.0,0.42,0.49,0.2,0.67,0.69,0.44
