,dynalloy.csv,xbplayer.csv,autat.csv,runuomondains.csv,findbugs.csv
autat.csv,0.41,0.63,0.69,0.15,0.49
dynalloy.csv,0.78,0.55,0.14,0.51,0.54
findbugs.csv,0.69,0.58,0.61,0.64,0.64
runuomondains.csv,0.51,0.68,0.37,0.77,0.54
xbplayer.csv,0.41,0.64,0.66,0.73,0.43
