,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.25,0.77,0.54,0.55,0.86,0.32,0.53,0.48,0.8,0.76,0.4,0.7,0.76,0.61
carabiner.csv,0.27,0.71,0.57,0.48,0.81,0.61,0.67,0.52,0.81,0.64,0.46,0.73,0.61,0.75
elvishrayrenderer.csv,0.22,0.55,0.48,0.41,0.63,0.5,0.97,0.29,0.52,0.54,0.28,0.58,0.75,0.37
fleet-simulator.csv,0.22,0.69,0.64,0.54,0.74,0.47,0.97,0.49,0.98,0.83,0.32,0.81,0.79,0.54
gmerlin.csv,0.0,0.69,0.64,0.54,0.84,0.46,0.77,0.54,0.93,0.75,0.39,0.84,0.79,0.54
gnome-jabber.csv,0.21,0.7,0.63,0.44,0.66,0.18,0.75,0.45,0.73,0.73,0.42,0.54,0.7,0.59
ipfilter.csv,0.26,0.33,0.58,0.48,0.74,0.49,0.96,0.44,0.82,0.96,0.39,0.7,0.77,0.49
irplus.csv,0.3,0.51,0.62,0.59,0.5,0.37,0.41,0.48,0.5,0.63,0.32,0.59,0.62,0.6
mevenide.csv,0.07,0.05,0.13,0.07,0.38,0.23,0.1,0.12,0.17,0.3,0.65,0.39,0.49,0.17
moving-pictures.csv,0.18,0.52,0.63,0.46,0.74,0.16,0.61,0.25,0.39,0.7,0.25,0.62,0.6,0.74
opensim4opencog.csv,0.33,0.6,0.46,0.5,0.73,0.34,0.48,0.53,0.71,0.59,0.41,0.61,0.56,0.62
rockbox.csv,0.05,0.39,0.41,0.25,0.14,0.26,0.39,0.35,0.2,0.04,0.44,0.45,0.36,0.65
ta3d.csv,0.13,0.0,0.32,0.4,0.4,0.24,0.3,0.0,0.2,0.65,0.32,0.65,0.0,0.0
xcmetadataservicestoolkit.csv,0.24,0.22,0.48,0.44,0.83,0.43,0.96,0.49,0.74,0.7,0.37,0.81,0.79,0.07
