,critterding.csv,firebird.csv,jcae.csv,nosleepsoftware.csv,hydrogen.csv,genecys.csv,monetdb.csv,riff-evolve.csv,mimosa.csv,alpine.csv,acdk.csv,quarkplayer.csv,zoolib.csv,virtuoso.csv,kftpgrabber.csv,xined.csv,openmsx.csv,fmri-dmt.csv,autowikibrowser.csv,libarchive.csv
acdk.csv,0.64,0.37,0.53,0.67,0.49,0.39,0.36,0.62,0.45,0.58,0.47,0.45,0.8,0.49,0.45,0.37,0.94,0.58,0.34,0.69
alpine.csv,0.44,0.6,0.5,0.48,0.52,0.44,0.51,0.44,0.37,0.76,0.48,0.73,0.53,0.38,0.41,0.4,0.6,0.31,0.37,0.44
autowikibrowser.csv,0.34,0.34,0.31,0.31,0.47,0.3,0.32,0.38,0.45,0.32,0.39,0.38,0.38,0.31,0.4,0.32,0.38,0.27,0.41,0.42
critterding.csv,0.66,0.57,0.3,0.43,0.51,0.44,0.42,0.52,0.36,0.45,0.47,0.43,0.51,0.45,0.42,0.42,0.76,0.31,0.41,0.48
firebird.csv,0.43,0.44,0.28,0.67,0.51,0.36,0.35,0.38,0.34,0.52,0.49,0.43,0.62,0.33,0.36,0.36,0.54,0.27,0.36,0.43
fmri-dmt.csv,0.63,0.69,0.85,0.55,0.63,0.86,0.98,0.48,0.72,0.71,0.63,0.53,0.63,0.58,0.71,0.56,0.55,0.93,0.45,0.48
genecys.csv,0.45,0.66,0.29,0.46,0.59,0.51,0.43,0.41,0.35,0.45,0.44,0.49,0.65,0.38,0.48,0.38,0.44,0.32,0.53,0.48
hydrogen.csv,0.75,0.39,0.3,0.43,0.55,0.5,0.39,0.42,0.36,0.42,0.43,0.4,0.48,0.39,0.42,0.0,0.4,0.29,0.38,0.44
jcae.csv,0.8,0.68,0.65,0.77,0.59,0.42,0.37,0.75,0.75,0.75,0.44,0.69,0.91,0.93,0.5,0.5,0.67,0.68,0.42,0.0
kftpgrabber.csv,0.53,0.94,0.56,0.5,0.83,0.86,0.47,0.93,0.51,0.92,0.76,0.97,0.92,0.95,0.41,0.45,0.95,0.55,0.62,0.75
libarchive.csv,0.42,0.34,0.29,0.31,0.46,0.33,0.31,0.64,0.35,0.34,0.39,0.43,0.4,0.33,0.37,0.33,0.41,0.29,0.37,0.42
mimosa.csv,0.43,0.4,0.45,0.47,0.52,0.47,0.47,0.5,0.51,0.51,0.54,0.42,0.49,0.46,0.43,0.41,0.52,0.37,0.39,0.47
monetdb.csv,0.85,0.38,0.57,0.5,0.63,0.5,0.42,0.67,0.69,0.76,0.64,0.57,0.66,0.52,0.52,0.39,0.95,0.89,0.6,0.88
nosleepsoftware.csv,0.64,0.54,0.0,0.53,0.0,0.75,0.94,0.67,0.0,0.66,0.0,0.83,0.44,0.0,0.0,0.0,0.73,0.0,0.74,0.89
openmsx.csv,0.41,0.53,0.94,0.64,0.56,0.44,0.47,0.71,0.8,0.54,0.0,0.55,0.7,0.83,0.83,0.4,0.7,0.49,0.51,0.93
quarkplayer.csv,0.8,0.97,0.77,0.86,0.97,0.75,0.94,0.92,0.74,0.95,0.69,0.98,0.96,0.96,0.93,0.88,0.92,0.57,0.94,0.64
riff-evolve.csv,0.75,0.54,0.31,0.69,0.5,0.38,0.39,0.54,0.37,0.6,0.4,0.42,0.95,0.37,0.38,0.31,0.85,0.35,0.44,0.7
virtuoso.csv,0.48,0.4,0.3,0.42,0.53,0.36,0.4,0.46,0.41,0.43,0.47,0.44,0.52,0.56,0.44,0.5,0.42,0.39,0.42,0.0
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0
zoolib.csv,0.91,0.43,0.65,0.65,0.57,0.44,0.45,0.58,0.76,0.71,0.66,0.53,0.9,0.95,0.44,0.48,0.92,0.92,0.46,0.93
