,etics.csv,mcore3d.csv,kvs.csv,ogrehg.csv,genecys.csv,boost.csv,passwordsafe.csv,miranda.csv
boost.csv,0.69,0.68,0.4,0.58,0.73,0.7,0.51,0.76
etics.csv,0.69,0.55,0.1,0.46,0.6,0.26,0.39,0.81
genecys.csv,0.62,0.84,0.55,0.87,0.74,0.88,0.44,0.89
kvs.csv,0.54,0.17,0.75,0.32,0.05,0.44,0.33,0.43
mcore3d.csv,0.31,0.71,0.8,0.43,0.82,0.17,0.44,0.52
miranda.csv,0.31,0.26,0.5,0.53,0.76,0.91,0.84,0.78
ogrehg.csv,0.62,0.69,0.25,0.62,0.77,0.48,0.39,0.83
passwordsafe.csv,1.0,0.76,0.25,0.73,0.9,0.81,0.65,0.78
