,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.67,0.45,0.59,0.96,0.92,0.81,0.58,0.67,0.46,0.74,0.61,0.58,0.92,0.35,0.55,0.51,0.64
all-plasm.csv,0.78,0.85,0.82,0.98,0.94,0.75,0.76,0.69,0.88,0.91,0.94,0.79,0.79,0.65,0.64,0.64,0.89
applet2app.csv,0.43,0.43,0.51,0.52,0.38,0.53,0.63,0.48,0.39,0.55,0.54,0.44,0.89,0.43,0.46,0.41,0.42
autat.csv,0.8,0.38,0.95,0.96,0.93,0.95,0.63,0.87,0.97,0.94,0.0,0.71,0.88,0.86,0.94,0.92,0.98
autowikibrowser.csv,0.4,0.35,0.46,0.61,0.49,0.52,0.43,0.39,0.4,0.46,0.45,0.37,0.56,0.36,0.41,0.48,0.42
gbif-providertoolkit.csv,0.99,0.86,0.67,0.99,0.9,0.71,0.87,0.93,0.96,0.77,0.62,0.44,0.89,0.75,0.96,0.9,0.69
htmlunit.csv,0.43,0.54,0.59,0.54,0.92,0.48,0.55,0.39,0.6,0.56,0.64,0.57,0.47,0.48,0.66,0.58,0.98
kmatplot.csv,0.44,0.59,0.86,0.99,0.92,0.9,0.76,0.74,0.51,0.79,0.59,0.77,0.83,0.0,0.88,0.65,0.53
mcore3d.csv,0.49,0.36,0.47,0.49,0.39,0.46,0.51,0.4,0.42,0.51,0.6,0.59,0.4,0.3,0.62,0.35,0.45
nh3d.csv,0.9,0.67,0.79,0.75,0.93,0.97,1.0,0.88,0.9,0.99,0.8,0.94,0.67,0.56,0.86,0.76,0.99
qgo.csv,0.38,0.45,0.49,0.59,0.44,0.46,0.48,0.48,0.36,0.47,0.63,0.4,0.57,0.48,0.44,0.36,0.47
qtwin.csv,0.97,0.5,0.94,0.5,0.88,0.94,0.99,0.5,0.75,0.92,0.91,0.92,0.86,0.9,0.96,0.79,0.99
reactos-mirror.csv,0.62,0.52,0.44,0.51,0.41,0.5,0.5,0.42,0.39,0.66,0.55,0.54,0.46,0.31,0.5,0.39,0.43
taokgame.csv,0.99,0.0,0.89,0.0,0.91,0.92,0.99,0.86,0.86,0.83,0.78,0.62,0.78,0.86,0.96,0.91,0.98
unbvision.csv,0.86,0.52,0.53,0.93,0.45,0.63,0.45,0.62,0.65,0.52,0.71,0.72,0.47,0.39,0.48,0.58,0.58
uwom.csv,0.81,0.5,0.46,0.53,0.55,0.65,0.52,0.56,0.61,0.67,0.96,0.94,0.49,0.75,0.6,0.52,0.81
wishmaster.csv,0.0,0.75,0.94,0.0,0.67,0.94,0.89,0.92,0.99,0.94,0.67,0.92,0.86,0.0,0.95,0.94,0.99
