,recall,precision,pf,wins
acdk.csv,0.41,0.38,0.21,12
all-plasm.csv,0.43,0.31,0.35,5
applet2app.csv,0.78,0.3,0.61,4
autat.csv,0.25,0.4,0.13,13
autowikibrowser.csv,0.61,0.36,0.38,9
gbif-providertoolkit.csv,0.3,0.38,0.16,10
htmlunit.csv,0.6,0.31,0.56,1
kmatplot.csv,0.36,0.33,0.28,8
mcore3d.csv,0.62,0.24,0.57,0
nh3d.csv,0.21,0.6,0.06,15
qgo.csv,0.67,0.35,0.34,11
qtwin.csv,0.17,0.63,0.02,16
reactos-mirror.csv,0.79,0.32,0.64,2
taokgame.csv,0.21,0.44,0.07,14
unbvision.csv,0.6,0.29,0.41,7
uwom.csv,0.6,0.31,0.45,6
wishmaster.csv,0.09,0.16,0.09,3
