,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.87,0.87,0.0,0.9,0.98
k3b.csv,0.5,0.81,0.85,0.58,0.03
myfaces.csv,0.84,0.96,0.78,0.17,0.96
robocode.csv,0.0,0.65,0.48,0.42,0.59
zildo.csv,0.56,0.05,0.85,0.81,0.62
