,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.07,0.14,0.0,0.22,0.0
k3b.csv,0.36,0.16,0.64,0.51,0.0
myfaces.csv,0.82,0.95,0.77,0.0,0.96
robocode.csv,0.0,0.39,0.39,0.32,0.46
zildo.csv,0.21,0.0,0.27,0.3,0.38
