,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.58,0.58,0.0,0.45,0.05,0.0,0.51,0.75,0.29,0.71,0.0
haphazard.csv,0.37,0.17,0.51,0.41,0.33,0.29,0.06,0.51,0.5,0.41,0.58
jicarilla.csv,0.09,0.0,0.88,0.0,0.0,0.0,0.06,0.44,0.0,0.0,0.02
jruby.csv,0.0,0.1,0.11,0.14,0.17,0.41,0.04,0.24,0.33,0.17,0.6
optalgtoolkit.csv,0.69,0.55,0.45,0.4,0.45,0.7,0.47,0.37,0.45,0.67,0.4
ossim.csv,0.24,0.28,0.31,0.74,0.0,0.41,0.44,0.35,0.34,0.11,0.21
projectts.csv,0.68,0.59,0.07,0.5,0.53,0.45,0.67,0.02,0.63,0.21,0.0
qedo.csv,0.21,0.06,0.28,0.14,0.0,0.62,0.36,0.46,0.27,0.8,0.04
sabbu.csv,0.73,0.59,0.11,0.58,0.68,0.13,0.31,0.13,0.59,0.38,0.46
vxl.csv,0.45,0.45,0.0,0.48,0.49,0.34,0.13,0.06,0.57,0.35,0.5
zact.csv,0.45,0.1,0.44,0.42,0.82,0.0,0.46,0.17,0.18,0.21,0.26
