,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.44,0.42,0.7,0.38,0.34,0.29,0.45,0.43,0.32,0.33,0.44
haphazard.csv,0.46,0.95,0.64,0.58,0.65,0.65,0.5,0.46,0.65,0.97,0.54
jicarilla.csv,0.88,0.0,0.77,0.75,0.0,0.0,0.67,0.52,0.0,0.93,0.67
jruby.csv,0.45,0.93,0.73,0.99,0.52,0.33,0.0,0.32,0.39,0.41,0.52
optalgtoolkit.csv,0.46,0.56,0.6,0.47,0.58,0.44,0.48,0.33,0.42,0.68,0.53
ossim.csv,0.9,0.72,0.57,0.62,0.5,0.47,0.53,0.32,0.41,0.41,0.89
projectts.csv,0.48,0.53,0.64,0.56,0.39,0.38,0.58,0.5,0.39,0.43,0.46
qedo.csv,0.93,0.8,0.75,0.89,0.92,0.4,0.95,0.53,0.86,0.75,0.8
sabbu.csv,0.43,0.58,0.9,0.58,0.51,0.67,0.61,0.86,0.6,0.61,0.8
vxl.csv,0.59,0.67,0.71,0.8,0.39,0.39,0.83,0.67,0.39,0.37,0.44
zact.csv,0.69,0.92,0.94,0.78,0.67,0.0,0.69,0.91,0.91,0.8,0.97
