,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.76,0.71,0.27,0.85,0.99,1.0,0.67,0.44,0.92,0.65,1.0
haphazard.csv,0.89,0.13,0.51,0.45,0.32,0.39,0.0,0.61,0.27,0.11,0.63
jicarilla.csv,0.07,0.0,0.24,0.02,0.0,0.03,0.04,0.39,0.0,0.06,0.0
jruby.csv,1.0,0.1,0.22,0.26,0.34,0.81,0.0,0.94,0.52,0.36,0.53
optalgtoolkit.csv,0.59,0.42,0.81,0.53,0.44,0.42,0.74,0.89,0.58,0.49,0.47
ossim.csv,0.31,0.2,0.32,0.28,0.02,0.32,0.52,0.89,0.48,0.37,0.21
projectts.csv,0.43,0.67,0.24,0.48,0.79,0.71,0.44,0.06,0.52,0.34,1.0
qedo.csv,0.56,0.03,0.22,0.36,0.1,0.55,0.3,0.61,0.08,0.25,0.05
sabbu.csv,0.19,0.41,0.19,0.34,0.63,0.03,0.3,0.11,0.52,0.72,0.47
vxl.csv,0.11,0.3,0.19,0.27,0.78,0.55,0.07,0.06,0.58,0.47,0.58
zact.csv,0.63,0.09,0.14,0.29,0.31,0.0,0.56,0.28,0.17,0.23,0.16
