,autofac.csv,mobicents.csv,snakeyaml.csv,chrysalis.csv,xamj.csv
autofac.csv,0.98,0.68,0.65,0.57,0.62
chrysalis.csv,0.6,0.58,0.46,0.94,0.38
mobicents.csv,0.32,0.99,0.34,0.37,0.57
snakeyaml.csv,0.58,0.57,0.94,0.38,0.45
xamj.csv,0.64,0.6,0.66,0.59,0.93
