,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.65,0.49,0.72,0.62,0.57,0.69,0.57,0.56,0.36,0.49,0.61,0.42,0.52,0.6,0.42,0.65,0.69
arm-webradio.csv,0.88,0.71,0.62,0.72,0.38,0.53,0.89,0.92,0.74,0.57,0.88,0.61,0.73,0.67,0.52,0.69,0.71
bwapi.csv,0.39,0.47,0.42,0.49,0.4,0.43,0.4,0.4,0.41,0.54,0.36,0.49,0.46,0.41,0.43,0.56,0.47
co-ode-owl-plugins.csv,0.0,0.89,0.92,0.98,0.92,0.92,0.0,0.94,0.91,0.9,0.5,0.94,0.9,0.98,0.75,0.82,0.94
firebreath.csv,0.46,0.56,0.49,0.57,0.51,0.62,0.4,0.44,0.42,0.51,0.4,0.47,0.44,0.48,0.55,0.62,0.56
frogatto.csv,0.47,0.44,0.47,0.56,0.45,0.53,0.39,0.44,0.49,0.58,0.38,0.34,0.35,0.47,0.47,0.54,0.51
gretl.csv,0.42,0.55,0.43,0.56,0.4,0.44,0.42,0.57,0.37,0.41,0.78,0.44,0.66,0.53,0.4,0.49,0.55
jasperreports.csv,0.5,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.96,0.0,0.5,0.0
konversation.csv,0.5,0.92,0.91,0.95,0.83,0.5,0.0,0.5,0.75,0.75,0.83,0.97,0.94,0.95,0.93,0.8,0.8
linuxsh.csv,0.59,0.91,0.76,0.87,0.59,0.67,0.83,0.93,0.43,0.51,0.86,0.96,0.96,0.67,0.65,0.63,0.86
moviesandbox.csv,0.88,0.86,0.72,0.75,0.5,0.82,0.86,0.88,0.95,0.59,0.83,0.74,0.86,0.79,0.57,0.77,0.71
ontomorphtab.csv,0.43,0.61,0.47,0.58,0.4,0.49,0.95,0.69,0.49,0.46,0.74,0.88,0.58,0.66,0.53,0.53,0.78
opengs.csv,0.83,0.62,0.65,0.98,0.52,0.86,0.67,0.92,0.62,0.67,0.67,0.4,0.44,0.63,0.8,0.92,0.61
scite-ru.csv,0.45,0.8,0.46,0.6,0.88,0.57,0.81,0.53,0.56,0.44,0.65,0.74,0.72,0.55,0.64,0.85,0.59
tokratan.csv,0.8,0.89,0.92,0.99,0.77,0.98,0.83,0.0,0.75,0.93,0.92,0.83,0.67,0.97,0.83,0.75,0.0
vrjuggler.csv,0.55,0.84,0.51,0.62,0.92,0.51,0.45,0.41,0.56,0.45,0.93,0.48,0.96,0.59,0.5,0.95,0.88
xuggle.csv,0.86,0.68,0.91,0.97,0.89,0.86,0.89,0.97,0.55,0.63,0.75,0.98,0.98,0.9,0.93,0.91,0.94
