,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.78,0.98,0.0,0.26,0.29,0.12,0.54,0.47,0.15,0.24,1.0,0.12,0.01,0.34
baadengine.csv,1.0,0.97,0.03,0.32,0.45,0.07,0.6,0.49,0.26,0.32,0.35,0.1,0.01,0.59
bnetd.csv,0.77,0.97,0.02,0.29,0.24,0.06,1.0,0.49,0.2,0.23,0.34,0.13,0.04,0.43
impala.csv,0.82,0.0,0.01,0.3,0.16,0.0,0.85,0.35,0.17,0.19,0.37,1.0,0.0,0.41
jaxen.csv,0.8,1.0,0.0,0.2,0.0,1.0,0.0,0.73,0.18,0.5,1.0,0.33,0.0,1.0
jgameai.csv,0.63,0.95,0.04,1.0,0.3,0.0,0.42,0.48,0.17,0.13,0.43,0.13,0.0,0.24
jparsec.csv,0.78,0.96,0.02,0.3,0.24,0.11,0.43,0.43,0.21,0.28,0.43,0.11,0.03,1.0
motu.csv,0.77,1.0,0.0,0.0,0.5,0.07,0.0,0.69,0.0,1.0,0.67,0.0,0.0,0.4
vars-redux.csv,0.72,0.92,0.04,0.25,0.34,0.09,0.59,1.0,0.5,0.39,0.61,0.08,0.0,0.4
werx.csv,0.75,1.0,0.01,0.29,0.3,0.06,0.53,0.42,0.19,0.22,0.41,0.12,0.03,0.39
wishmaster.csv,0.79,1.0,0.0,0.32,0.0,0.05,0.71,0.33,1.0,0.17,0.25,0.16,0.05,0.36
xreal.csv,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0
zealos.csv,0.78,0.98,0.0,0.31,1.0,0.08,0.71,0.48,0.16,0.35,0.56,0.08,0.02,0.46
