,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,vars-redux.csv,httpcontentparser.csv,tart.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,xbg.csv,gdis.csv,loki-lib.csv,xqilla.csv,biopax.csv,exl.csv,crux-framework.csv
avifile.csv,0.64,1.0,1.0,0.0,0.31,0.0,0.12,0.18,0.05,0.0,0.0,0.14,0.44,0.07,0.0,0.27,0.0,0.75,0.47,0.0
baadengine.csv,1.0,0.0,0.95,0.02,0.21,0.56,0.32,0.51,0.14,0.08,0.19,0.08,0.45,0.27,0.89,0.45,0.01,0.82,1.0,0.02
biopax.csv,0.76,0.05,0.98,0.01,0.31,0.32,0.27,0.46,0.11,0.04,0.13,0.12,0.43,0.16,0.91,0.54,0.03,1.0,0.83,0.03
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dataobjectsdotnet.csv,0.74,0.0,0.96,0.05,0.17,0.48,0.28,0.45,0.21,0.05,0.18,0.11,0.98,0.25,0.95,0.43,0.03,0.88,0.8,0.03
exl.csv,0.91,0.02,0.97,0.02,0.35,0.35,0.28,0.46,0.08,0.05,0.18,0.12,0.44,0.21,0.88,0.48,0.03,0.91,1.0,0.04
gdis.csv,0.77,0.1,0.98,0.01,0.27,0.36,0.25,0.45,0.11,0.06,0.12,0.12,0.46,0.17,1.0,0.45,0.02,0.85,0.81,0.03
gogoego.csv,0.8,0.0,1.0,0.0,0.43,0.32,0.99,0.44,0.09,0.07,0.36,0.04,0.54,0.4,0.88,0.57,0.07,0.76,1.0,0.06
httpcontentparser.csv,0.87,0.0,0.95,0.0,0.25,0.12,0.36,0.5,1.0,0.07,0.17,0.08,0.46,0.12,0.9,0.27,0.03,0.61,0.2,0.12
impala.csv,0.79,0.1,1.0,0.01,0.28,0.57,0.25,0.27,0.27,0.09,0.0,1.0,0.37,0.13,0.77,0.3,0.01,0.75,0.36,0.0
jgameai.csv,0.89,0.12,1.0,0.0,1.0,0.37,0.23,0.31,0.03,0.0,0.57,0.1,0.48,0.2,0.85,0.0,0.12,0.62,1.0,0.05
loki-lib.csv,0.8,0.03,0.98,0.02,0.32,0.39,0.31,0.49,0.14,0.04,0.21,0.11,0.45,0.21,0.9,0.96,0.04,0.76,0.95,0.04
snakeyaml.csv,0.95,0.33,1.0,0.0,0.33,0.45,0.3,0.29,0.15,0.06,1.0,0.08,0.5,0.05,0.86,0.29,0.0,0.67,0.72,0.04
tart.csv,0.33,0.0,1.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,0.1,0.0,0.55,0.0,0.0,0.33,0.25,0.0,0.83,0.0
vars-redux.csv,0.68,0.05,0.96,0.06,0.2,0.52,0.34,0.98,0.22,0.06,0.29,0.12,0.52,0.17,0.96,0.5,0.03,1.0,0.94,0.04
werx.csv,0.75,0.07,1.0,0.01,0.29,0.31,0.25,0.42,0.11,0.05,0.13,0.12,0.44,0.13,0.81,0.39,0.02,0.77,0.76,0.03
xbg.csv,0.81,0.0,0.94,0.25,0.25,0.5,0.23,0.67,0.09,0.05,0.38,0.08,0.81,1.0,0.86,0.35,0.07,1.0,0.91,0.05
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
zealos.csv,0.52,0.11,0.99,0.0,0.4,1.0,0.29,0.39,0.13,0.08,0.16,0.09,0.42,0.04,1.0,0.3,0.0,0.83,0.84,0.09
