,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,l2j.csv,jruby.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.77,0.89,0.26,0.47,0.96,0.42,0.6,0.48,0.3,0.9,0.69,0.93,0.14,0.59,0.3,0.08,0.74,0.87,0.38,0.7
betoffice.csv,0.88,0.83,0.22,0.28,0.8,0.2,0.59,0.54,0.14,0.92,0.51,0.9,0.06,0.49,0.32,0.12,0.69,0.89,0.25,0.58
bionote.csv,0.77,0.87,0.38,0.45,1.0,0.33,0.62,0.4,0.67,1.0,0.82,0.92,0.32,0.68,0.4,0.11,0.75,0.89,0.35,0.67
bnetd.csv,0.83,0.82,0.33,0.44,0.86,0.41,0.54,0.5,0.38,0.94,0.82,0.92,0.17,0.62,0.36,0.08,0.72,0.88,0.29,0.68
elvishrayrenderer.csv,0.83,0.77,1.0,0.39,0.95,0.56,0.6,0.5,0.35,0.92,1.0,0.88,0.23,0.65,0.29,0.05,0.9,0.83,0.55,0.87
emisview.csv,0.71,0.0,0.35,0.57,0.96,0.53,0.82,0.44,0.44,1.0,0.61,0.89,0.21,0.61,0.42,0.18,0.88,0.83,0.48,1.0
findbugs.csv,0.75,0.89,0.2,0.41,0.81,0.27,0.68,0.52,0.33,1.0,0.59,0.97,0.11,0.68,0.48,0.09,0.71,0.87,0.21,0.68
hazelcast.csv,0.77,0.9,0.48,0.38,1.0,0.33,0.65,0.53,0.28,0.91,0.62,0.93,0.16,0.65,0.33,0.09,0.78,0.86,0.42,0.71
jitterbit.csv,0.76,0.87,0.28,0.43,0.89,0.35,0.78,0.42,0.56,1.0,0.52,0.95,0.14,0.57,0.45,0.04,0.7,0.86,0.34,0.72
jppf-project.csv,0.78,0.78,0.21,0.5,0.92,0.23,0.64,0.51,0.2,0.86,0.45,0.99,0.15,0.64,0.39,0.06,0.73,0.87,0.37,0.58
jruby.csv,0.9,0.0,0.33,0.42,0.94,0.2,0.57,0.5,0.25,0.9,0.0,0.95,0.0,0.58,0.4,0.01,0.91,0.9,0.25,0.67
kolmafia.csv,0.78,0.82,0.22,0.36,0.94,0.31,0.59,0.5,0.32,0.91,0.59,0.93,0.14,0.81,0.38,0.08,0.78,0.87,0.31,0.67
l2j.csv,0.76,0.87,0.33,0.39,1.0,0.34,0.6,0.5,0.32,0.95,0.7,0.91,0.13,0.66,0.39,0.14,0.86,0.88,0.34,0.62
megasquirtavr.csv,0.78,0.82,0.53,0.32,0.84,0.3,0.63,0.51,0.33,0.93,0.53,0.93,0.12,0.52,0.37,0.08,0.72,0.87,0.31,0.62
qedo.csv,0.8,0.31,0.07,0.22,1.0,0.33,0.41,0.5,0.21,0.91,0.56,1.0,0.06,0.55,0.17,0.25,0.6,0.75,0.15,0.44
stajistics.csv,0.76,0.82,0.33,0.31,0.95,0.39,0.68,0.48,0.21,0.93,0.52,0.91,0.19,0.55,0.38,0.11,0.74,0.86,0.52,0.65
trackit.csv,0.67,1.0,0.1,0.35,1.0,0.35,0.74,0.4,0.33,0.89,0.42,0.89,0.0,0.42,0.38,0.07,0.77,0.95,0.42,0.44
wxlua.csv,0.77,0.79,0.12,0.31,0.65,0.27,0.59,0.0,0.32,0.96,0.48,0.85,0.13,0.49,0.6,0.1,0.61,0.75,0.29,0.54
x4x.csv,0.89,0.77,0.21,0.29,0.77,0.32,0.61,0.51,0.26,0.92,0.53,0.9,0.06,0.52,0.38,0.09,0.74,0.87,0.27,0.68
xharbour.csv,0.77,0.99,0.31,0.32,0.97,0.35,0.74,0.47,0.32,0.93,0.5,0.89,0.23,0.65,0.41,0.03,0.76,0.86,0.34,0.75
