,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,l2j.csv,jruby.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.81,0.75,0.95,0.68,0.84,0.7,0.44,0.82,0.85,0.2,0.74,0.86,0.75,0.4,0.46,0.91,0.62,0.87,0.77,0.68
betoffice.csv,0.5,0.44,0.55,0.59,0.65,0.3,0.73,0.56,0.12,0.64,0.62,0.58,0.25,0.7,0.46,0.86,0.48,0.69,0.6,0.41
bionote.csv,0.48,0.92,0.3,0.23,0.47,0.04,0.2,0.42,0.41,0.24,0.36,0.4,0.88,0.57,0.43,0.36,0.65,0.66,0.47,0.53
bnetd.csv,0.95,1.0,0.7,0.68,0.35,0.48,0.17,1.0,0.63,0.51,0.59,1.0,1.0,0.87,0.61,0.91,1.0,0.86,0.87,0.88
elvishrayrenderer.csv,0.45,0.55,0.05,0.77,0.71,0.65,0.15,0.02,0.21,0.76,0.15,0.47,0.75,0.74,0.43,0.14,0.22,0.42,0.6,0.76
emisview.csv,0.36,0.0,0.35,0.55,0.49,0.78,0.22,0.18,0.56,0.02,0.56,0.52,0.5,0.66,0.39,0.18,0.19,0.2,0.53,0.15
findbugs.csv,0.86,0.72,0.85,0.32,0.76,0.57,0.83,0.76,0.73,0.08,0.56,0.33,0.62,0.53,0.57,0.73,0.8,0.79,0.53,0.68
hazelcast.csv,0.71,0.6,0.6,0.68,0.91,0.87,0.63,0.56,0.83,0.35,0.38,0.71,0.75,0.87,0.5,0.64,0.27,0.56,0.77,0.5
jitterbit.csv,0.9,0.98,0.5,0.86,0.89,0.74,0.34,0.18,0.67,0.19,0.95,0.6,1.0,0.85,0.71,0.09,0.66,0.85,0.87,0.62
jppf-project.csv,0.6,0.62,0.8,0.18,0.65,0.43,0.61,0.84,0.5,0.41,0.49,0.74,0.62,0.62,0.57,0.27,0.32,0.86,0.47,0.53
jruby.csv,0.45,0.0,0.05,0.23,0.62,0.04,0.2,0.47,0.16,0.1,0.0,0.22,0.0,0.23,0.43,0.05,0.11,0.71,0.23,0.18
kolmafia.csv,1.0,0.98,1.0,0.91,0.58,0.96,0.66,1.0,0.73,0.69,0.97,0.87,0.88,0.72,0.93,0.86,0.81,0.99,0.73,0.94
l2j.csv,0.69,0.63,0.3,0.64,0.55,0.7,0.59,0.62,0.76,0.4,0.54,0.65,0.88,0.66,0.5,0.91,0.77,0.24,0.67,0.53
megasquirtavr.csv,1.0,1.0,0.5,0.86,0.98,1.0,0.93,0.82,0.7,0.95,1.0,0.87,0.75,0.72,0.93,0.95,0.96,0.93,0.9,0.68
qedo.csv,0.1,0.06,0.1,0.32,0.13,0.04,0.17,0.4,0.21,0.59,0.23,0.33,0.12,0.34,0.07,0.68,0.02,0.02,0.1,0.12
stajistics.csv,0.83,1.0,0.05,0.95,0.73,1.0,0.37,0.53,0.57,1.0,0.72,0.88,0.75,1.0,0.89,0.73,0.98,0.6,0.87,1.0
trackit.csv,0.29,0.01,0.15,0.55,0.31,0.52,0.61,0.04,0.44,0.39,0.56,0.09,0.0,0.11,0.21,0.18,0.05,0.16,0.33,0.12
wxlua.csv,0.24,0.72,0.4,0.77,0.2,0.17,0.41,0.0,0.47,0.76,0.77,0.3,0.5,0.43,0.32,0.82,0.38,0.12,0.17,0.41
x4x.csv,0.74,0.7,0.65,0.59,0.55,0.43,0.73,0.91,0.66,0.75,0.74,0.72,0.25,0.66,0.64,0.91,0.87,0.93,0.53,0.88
xharbour.csv,0.86,0.76,0.9,0.45,0.56,0.7,0.76,0.62,0.69,0.58,0.64,0.45,0.88,0.66,0.86,0.23,0.81,0.91,0.77,0.71
