,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,l2j.csv,jruby.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.46,0.71,0.63,0.67,0.83,0.67,0.45,0.36,0.58,0.23,0.72,0.58,0.58,0.44,0.43,0.3,0.58,0.46,0.68,0.61
betoffice.csv,0.54,0.46,0.53,0.48,0.31,0.32,0.3,0.55,0.14,0.56,0.53,0.46,0.27,0.37,0.44,0.71,0.48,0.61,0.45,0.42
bionote.csv,0.48,0.71,0.34,0.27,0.53,0.05,0.23,0.41,0.46,0.28,0.41,0.43,0.84,0.59,0.46,0.4,0.59,0.61,0.49,0.52
bnetd.csv,0.69,0.0,0.68,0.66,0.39,0.51,0.2,0.0,0.63,0.53,0.63,0.0,0.6,0.68,0.52,0.24,0.05,0.53,0.32,0.55
elvishrayrenderer.csv,0.48,0.45,0.06,0.65,0.73,0.67,0.18,0.02,0.25,0.54,0.18,0.4,0.72,0.68,0.41,0.17,0.26,0.42,0.63,0.76
emisview.csv,0.38,0.0,0.4,0.59,0.54,0.76,0.26,0.21,0.59,0.02,0.57,0.43,0.53,0.62,0.43,0.21,0.23,0.23,0.56,0.18
findbugs.csv,0.0,0.69,0.26,0.36,0.0,0.5,0.61,0.57,0.64,0.1,0.56,0.38,0.46,0.56,0.58,0.61,0.44,0.51,0.33,0.59
hazelcast.csv,0.52,0.61,0.63,0.62,0.93,0.58,0.56,0.55,0.52,0.38,0.42,0.6,0.63,0.73,0.47,0.59,0.31,0.51,0.71,0.52
jitterbit.csv,0.0,0.69,0.52,0.73,0.71,0.63,0.39,0.21,0.69,0.23,0.13,0.6,0.3,0.55,0.64,0.11,0.5,0.36,0.61,0.61
jppf-project.csv,0.55,0.45,0.47,0.21,0.66,0.41,0.55,0.51,0.41,0.36,0.45,0.76,0.58,0.61,0.54,0.3,0.36,0.46,0.5,0.45
jruby.csv,0.5,0.0,0.06,0.27,0.65,0.05,0.23,0.48,0.19,0.12,0.0,0.26,0.0,0.27,0.46,0.06,0.13,0.64,0.27,0.21
kolmafia.csv,0.0,0.0,0.05,0.56,0.61,0.24,0.42,0.0,0.63,0.51,0.63,0.58,0.48,0.73,0.27,0.41,0.68,0.0,0.57,0.37
l2j.csv,0.51,0.62,0.34,0.61,0.6,0.62,0.49,0.55,0.64,0.44,0.57,0.49,0.41,0.64,0.5,0.77,0.75,0.28,0.6,0.49
megasquirtavr.csv,0.0,0.0,0.55,0.41,0.0,0.0,0.17,0.51,0.64,0.61,0.0,0.58,0.37,0.48,0.0,0.13,0.13,0.37,0.41,0.48
qedo.csv,0.12,0.07,0.12,0.34,0.16,0.05,0.2,0.43,0.24,0.53,0.27,0.38,0.14,0.38,0.09,0.7,0.02,0.02,0.12,0.14
stajistics.csv,0.29,0.0,0.06,0.0,0.74,0.7,0.41,0.5,0.4,0.41,0.53,0.0,0.68,0.0,0.37,0.64,0.38,0.53,0.81,0.0
trackit.csv,0.32,0.01,0.18,0.54,0.36,0.53,0.61,0.05,0.47,0.41,0.35,0.11,0.0,0.13,0.25,0.21,0.06,0.19,0.37,0.14
wxlua.csv,0.28,0.34,0.34,0.45,0.22,0.2,0.42,0.0,0.49,0.73,0.31,0.31,0.5,0.44,0.37,0.61,0.38,0.14,0.2,0.39
x4x.csv,0.72,0.19,0.55,0.49,0.29,0.46,0.44,0.41,0.51,0.54,0.54,0.36,0.27,0.5,0.55,0.41,0.53,0.21,0.48,0.55
xharbour.csv,0.29,0.79,0.74,0.47,0.61,0.62,0.7,0.52,0.62,0.56,0.52,0.43,0.78,0.64,0.57,0.22,0.65,0.2,0.63,0.67
