,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.49,0.83,0.36,0.58,0.43
chaperon.csv,0.8,0.91,0.68,0.88,0.68
mule.csv,0.39,0.89,0.54,0.64,0.38
springside.csv,0.35,0.43,0.38,0.38,0.37
swtfox.csv,0.88,0.64,0.8,0.75,0.91
