,thout.csv,psrchive.csv,jvcl.csv,zact.csv,sarasvati.csv,liferea.csv,kwave.csv,blogentis.csv,checker-framework.csv,fontforge.csv,magicwars.csv,lockss.csv,stuproa-cims.csv,ctrlr.csv,gusanos.csv,pydev.csv,cme.csv
blogentis.csv,1.0,4.0,8.0,5.0,27.0,6.0,0.0,1.0,7.0,1.0,1.0,0.0,4.0,2.0,3.0,1.0,8.0
checker-framework.csv,2.0,3.0,10.0,15.0,24.0,11.0,0.0,11.0,2.0,1.0,3.0,8.0,5.0,3.0,3.0,2.0,33.0
cme.csv,190.0,88.0,158.0,125.0,169.0,56.0,71.0,92.0,68.0,54.0,0.0,6.0,0.0,79.0,95.0,104.0,0.0
ctrlr.csv,2.0,9.0,158.0,16.0,9.0,9.0,0.0,4.0,3.0,1.0,3.0,6.0,6.0,1.0,1.0,1.0,56.0
fontforge.csv,0.0,4.0,8.0,8.0,7.0,6.0,6.0,3.0,2.0,0.0,1.0,13.0,1.0,2.0,3.0,4.0,16.0
gusanos.csv,4.0,24.0,8.0,4.0,7.0,4.0,0.0,0.0,10.0,1.0,0.0,1.0,9.0,1.0,2.0,1.0,2.0
jvcl.csv,13.0,4.0,3.0,125.0,16.0,4.0,0.0,4.0,0.0,54.0,1.0,11.0,0.0,79.0,2.0,1.0,56.0
kwave.csv,9.0,2.0,7.0,4.0,29.0,4.0,0.0,15.0,6.0,11.0,1.0,3.0,0.0,7.0,2.0,2.0,17.0
liferea.csv,1.0,10.0,9.0,5.0,13.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,1.0,1.0,0.0,7.0,9.0
lockss.csv,4.0,1.0,4.0,125.0,10.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,79.0,0.0,0.0,9.0
magicwars.csv,21.0,4.0,3.0,16.0,17.0,6.0,0.0,13.0,0.0,1.0,0.0,6.0,2.0,2.0,3.0,1.0,19.0
psrchive.csv,13.0,1.0,158.0,12.0,169.0,9.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,2.0,9.0
pydev.csv,6.0,2.0,9.0,19.0,12.0,1.0,3.0,1.0,3.0,0.0,0.0,10.0,0.0,79.0,1.0,2.0,9.0
sarasvati.csv,1.0,7.0,4.0,8.0,17.0,4.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,56.0
stuproa-cims.csv,10.0,88.0,4.0,13.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,79.0,1.0,1.0,5.0
thout.csv,1.0,3.0,2.0,1.0,24.0,6.0,0.0,2.0,14.0,1.0,1.0,6.0,1.0,2.0,3.0,0.0,5.0
zact.csv,0.0,1.0,10.0,5.0,23.0,5.0,0.0,4.0,32.0,6.0,2.0,6.0,3.0,1.0,2.0,0.0,56.0
