,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.95,0.59,0.41,0.8
google-caja.csv,0.63,0.31,0.6,0.39
itext.csv,0.63,0.67,0.58,0.33
plee-the-bear.csv,0.32,0.65,0.73,0.75
