,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.15,0.81,0.56,0.4,0.79,0.2,1.0,0.35,0.85,0.9,0.25,0.67,0.65,0.5
carabiner.csv,0.21,0.74,0.63,0.43,0.76,0.57,0.95,0.37,0.83,0.72,0.36,0.74,0.65,0.61
elvishrayrenderer.csv,0.11,0.92,0.43,0.48,0.77,0.56,0.95,0.33,1.0,0.58,0.43,0.62,0.86,0.6
fleet-simulator.csv,0.12,0.53,0.47,0.39,0.71,0.33,0.95,0.33,1.0,0.71,0.23,0.7,0.67,0.36
gmerlin.csv,0.0,0.54,0.51,0.39,0.75,0.35,0.95,0.49,0.88,0.79,0.27,0.74,0.64,0.42
gnome-jabber.csv,0.15,0.53,0.56,0.38,0.78,0.18,0.98,0.33,0.89,0.79,0.27,0.7,0.66,0.44
ipfilter.csv,0.16,0.37,0.51,0.34,0.78,0.32,0.95,0.36,0.93,0.98,0.24,0.69,0.65,0.28
irplus.csv,0.21,0.75,0.59,0.56,0.88,0.67,0.97,0.42,1.0,0.72,0.43,0.75,0.7,0.68
mevenide.csv,0.12,1.0,0.5,0.25,0.82,0.6,1.0,0.5,1.0,1.0,0.66,0.75,0.75,0.67
moving-pictures.csv,0.17,0.73,0.64,0.4,0.68,0.43,0.95,0.38,0.67,0.79,0.22,0.75,0.68,0.7
opensim4opencog.csv,0.23,0.77,0.62,0.5,0.73,0.42,0.94,0.38,1.0,0.63,0.33,0.73,0.74,0.58
rockbox.csv,0.11,0.58,0.59,0.42,0.67,0.31,0.96,0.31,0.95,0.67,0.36,0.79,0.62,0.58
ta3d.csv,0.17,0.0,0.5,0.46,0.92,0.25,1.0,0.0,0.72,0.86,0.4,0.73,1.0,0.0
xcmetadataservicestoolkit.csv,0.12,1.0,0.57,0.42,0.86,0.32,0.95,0.28,0.9,0.78,0.19,0.69,0.72,0.0
