,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,0.38,0.54,0.55,0.39,0.44,0.5,0.55,0.41,0.4,0.41,0.48,0.43,0.37,0.42,0.52,0.43,0.39
encog-cs.csv,0.4,0.5,0.62,0.41,0.39,0.38,0.41,0.54,0.46,0.41,0.57,0.37,0.49,0.45,0.49,0.45,0.44
extprosys.csv,0.42,0.43,0.57,0.38,0.4,0.43,0.75,0.59,0.63,0.47,0.49,0.48,0.58,0.4,0.45,0.44,0.68
ibatisdb.csv,0.89,0.65,0.69,0.95,0.49,0.66,0.78,0.63,0.62,0.5,0.58,0.88,0.59,0.96,0.59,0.88,0.67
intact.csv,0.43,0.43,0.55,0.37,0.44,0.5,0.8,0.43,0.47,0.39,0.39,0.56,0.38,0.39,0.46,0.48,0.5
japano.csv,0.39,0.46,0.56,0.39,0.43,0.4,0.38,0.53,0.36,0.46,0.48,0.45,0.36,0.41,0.52,0.45,0.44
lockss.csv,0.4,0.5,0.53,0.77,0.51,0.56,0.39,0.39,0.62,0.41,0.44,0.57,0.52,0.44,0.39,0.45,0.5
ofbiz.csv,0.43,0.47,0.51,0.41,0.61,0.44,0.46,0.47,0.54,0.83,0.47,0.45,0.59,0.46,0.56,0.5,0.41
officefloor.csv,0.43,0.78,0.96,0.51,0.85,0.75,0.0,0.39,0.55,0.74,0.51,0.52,0.5,0.72,0.45,0.78,0.37
opennms.csv,0.62,0.58,0.5,0.8,0.65,0.83,0.46,0.0,0.97,0.59,0.99,0.94,0.39,0.64,0.0,0.89,0.0
papertoolkit.csv,0.45,0.64,0.96,0.72,0.94,0.93,0.83,0.91,0.81,0.76,0.62,0.81,0.85,0.7,0.89,0.67,0.89
rohxel.csv,0.58,0.67,0.54,0.93,0.81,0.71,0.39,0.52,0.9,0.93,0.95,0.5,0.83,0.95,0.74,0.89,0.8
sevenupdate.csv,0.3,0.6,0.47,0.35,0.38,0.33,0.36,0.47,0.37,0.66,0.45,0.38,0.42,0.4,0.42,0.41,0.32
web-cat.csv,0.32,0.54,0.47,0.37,0.39,0.41,0.38,0.53,0.36,0.48,0.48,0.39,0.41,0.39,0.48,0.45,0.58
xcf.csv,0.36,0.43,0.47,0.36,0.47,0.5,0.38,0.39,0.4,0.44,0.41,0.34,0.83,0.45,0.37,0.39,0.31
