,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.97,0.85,0.91,0.81,0.92,0.0,1.0,0.88,0.98,0.98,0.95,0.92,1.0,0.88,0.9
badtrinity-zero.csv,0.86,0.75,0.05,0.84,0.67,0.59,0.73,0.76,0.73,0.88,0.57,0.88,0.55,0.76,0.59
biodwh.csv,0.96,0.94,0.71,0.91,0.95,0.91,0.76,0.97,0.87,1.0,1.28,1.0,0.25,0.7,0.86
critterding.csv,0.68,0.03,0.78,0.69,0.54,0.68,0.77,0.6,0.82,0.58,0.57,0.43,0.49,0.79,0.68
elateportal.csv,1.0,0.91,0.97,0.45,0.81,0.81,1.0,0.94,0.85,1.0,0.0,0.89,0.84,0.98,0.71
enzo.csv,0.8,0.75,0.72,0.64,0.87,0.69,0.85,0.7,0.8,0.05,0.67,0.79,0.97,0.9,0.73
factor.csv,1.0,0.88,0.99,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02,0.99
gusanos.csv,0.68,0.86,0.63,0.61,0.8,0.67,0.74,0.0,0.87,0.76,0.33,0.77,0.72,0.71,0.66
miranda.csv,0.65,0.84,0.66,0.48,0.74,0.89,0.54,0.74,0.93,0.79,0.82,0.68,0.92,0.98,0.02
modplug.csv,0.71,0.73,0.72,0.57,0.87,0.77,0.75,0.72,0.05,0.76,0.39,0.67,0.69,0.61,0.74
monetdb.csv,0.66,0.58,0.59,0.69,0.11,0.65,0.74,0.69,0.57,0.6,0.25,0.85,0.63,0.75,0.6
quarkplayer.csv,0.83,0.77,0.96,0.91,0.97,0.78,0.0,0.85,0.85,0.71,0.86,0.98,1.0,0.92,0.98
reactos-mirror.csv,0.04,0.6,0.63,0.66,0.62,0.63,0.72,0.72,0.57,0.52,1.0,0.8,0.88,0.79,0.6
sandiaportals.csv,0.67,0.72,0.63,0.61,0.68,0.71,0.61,0.56,0.76,0.64,0.5,0.04,0.8,0.58,0.76
xbplayer.csv,0.78,0.77,0.77,0.07,0.79,0.84,0.85,0.69,0.8,0.92,0.95,0.78,0.76,0.74,0.75
