,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.66,0.75,0.64,0.99
columba.csv,0.38,0.47,0.49,0.47
decidr.csv,0.38,0.39,0.41,0.43
jajuk.csv,0.37,0.34,0.35,0.38
