,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.75,0.18,0.71,0.37
columba.csv,0.3,0.5,0.18,0.21
decidr.csv,0.86,0.88,0.24,0.45
jajuk.csv,0.17,0.66,0.96,0.96
