,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.29,0.54,0.81,0.0,0.66,0.7,0.61,0.44,0.32,0.28,0.27,0.62
jaolt.csv,0.6,0.65,0.68,0.13,0.54,0.04,0.68,0.59,0.17,0.5,0.61,0.55
jcl.csv,0.34,0.38,0.35,0.3,0.51,0.66,0.44,0.47,0.77,0.51,0.35,0.48
kmess.csv,0.44,0.62,0.44,0.36,0.75,0.11,0.17,0.63,0.49,0.4,0.48,0.67
ossbuild.csv,0.1,0.44,0.68,0.36,0.54,0.75,0.37,0.44,0.75,0.3,0.68,0.54
qgo.csv,0.45,0.92,0.44,0.37,0.0,0.28,0.56,0.05,0.05,0.68,0.49,0.54
quark.csv,0.0,0.42,0.2,0.06,0.19,0.0,0.1,0.34,0.54,0.19,0.82,0.11
rezilla.csv,0.51,0.43,0.2,0.74,0.39,0.4,0.41,0.33,0.54,0.76,0.47,0.49
rhex.csv,0.81,0.64,0.14,0.06,0.48,0.04,0.51,0.56,0.47,0.34,0.47,0.39
toped.csv,0.43,0.45,0.65,0.09,0.85,0.17,0.26,0.44,0.54,0.4,0.0,0.61
truevision.csv,0.37,0.64,0.32,0.51,0.71,0.0,0.33,0.72,0.46,0.5,0.43,0.6
wxstudio.csv,0.64,0.31,0.22,0.19,0.22,0.14,0.46,0.43,0.0,0.69,0.27,0.33
