,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.75,0.5,0.67,0.36,0.44,0.69,0.49,0.86,0.82,0.74,0.91,0.52
jaolt.csv,0.5,0.37,0.56,0.67,0.38,0.9,0.45,0.33,0.89,0.44,0.61,0.36
jcl.csv,0.58,0.92,0.6,0.69,0.47,0.66,0.5,0.53,0.57,0.58,0.59,0.67
kmess.csv,0.6,0.38,0.74,0.86,0.33,0.86,0.91,0.49,0.5,0.5,0.63,0.46
ossbuild.csv,0.95,0.68,0.57,0.88,0.45,0.99,0.66,0.86,0.69,0.71,0.43,0.55
qgo.csv,0.38,0.39,0.36,0.6,0.32,0.37,0.31,0.37,0.37,0.32,0.35,0.37
quark.csv,0.0,0.53,0.96,0.5,0.89,0.0,0.83,0.84,0.72,0.82,0.56,0.88
rezilla.csv,0.5,0.71,0.51,0.52,0.44,0.42,0.53,0.43,0.44,0.48,0.44,0.45
rhex.csv,0.47,0.36,0.96,0.5,0.38,0.83,0.56,0.33,0.43,0.48,0.51,0.48
toped.csv,0.67,0.44,0.5,0.36,0.38,0.43,0.4,0.71,0.45,0.66,0.34,0.5
truevision.csv,0.53,0.37,0.52,0.7,0.35,0.0,0.64,0.44,0.41,0.54,0.67,0.4
wxstudio.csv,0.59,0.77,0.56,0.8,0.67,0.48,0.55,0.47,0.5,0.43,0.89,0.57
