,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.41,0.25,0.62,0.24,0.38,0.53,0.32,0.62,0.19,0.34,0.29,0.27,0.2,0.33,0.07
bibletime.csv,0.38,0.96,0.98,0.95,0.38,0.55,0.92,0.61,0.73,0.85,0.43,0.8,0.5,0.89,0.92
boost.csv,0.32,0.25,0.53,0.46,0.33,0.45,0.39,0.2,0.23,0.85,0.29,0.45,0.2,0.0,0.19
doomlegacy.csv,0.52,0.0,0.06,0.04,0.08,0.24,0.03,0.17,0.46,0.88,0.0,0.33,0.27,0.11,0.06
gpac.csv,0.26,0.17,0.34,0.35,0.8,0.32,0.05,0.4,0.35,0.13,0.21,0.46,0.57,0.94,0.12
kftpgrabber.csv,0.09,0.0,0.13,0.12,0.16,0.27,0.11,0.05,0.04,0.19,0.29,0.13,0.11,0.0,0.03
nativeclient.csv,0.24,0.38,0.23,0.64,0.32,0.24,0.39,0.18,0.19,0.47,0.36,0.52,0.41,0.28,0.28
netatalk.csv,0.55,0.17,0.34,0.31,0.23,0.5,0.26,0.5,0.58,0.8,0.5,0.6,0.39,0.78,0.4
open-ms.csv,0.24,0.0,0.17,0.12,0.17,0.16,0.11,0.15,0.62,0.57,0.0,0.33,0.43,0.28,0.1
openmsx.csv,0.11,0.54,0.0,0.43,0.04,0.81,0.37,0.37,0.62,0.09,0.71,0.08,0.98,0.94,0.24
rosegarden.csv,0.23,0.46,0.34,0.69,0.34,0.31,0.26,0.17,0.65,0.77,0.21,0.8,0.45,0.28,0.63
rsyslog.csv,0.41,0.33,0.26,0.04,0.42,0.4,0.34,0.28,0.69,0.9,0.43,0.82,0.68,0.39,0.4
sandiaportals.csv,0.53,0.62,0.7,0.61,0.34,0.71,0.58,0.38,0.15,0.24,0.43,0.42,0.39,0.22,0.25
xmoto.csv,0.43,0.33,0.28,0.03,0.94,0.27,1.0,0.29,0.27,0.2,0.5,0.34,0.32,1.0,0.11
xqilla.csv,0.47,0.0,0.21,0.15,0.06,0.29,0.26,0.17,0.54,0.06,0.14,0.43,0.32,0.44,0.26
