,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.57,0.63,0.67,0.53,0.61,0.57,0.59,0.77,0.82,0.48,0.51,0.61,0.59,0.49,0.81
bibletime.csv,0.51,0.96,0.98,0.95,0.63,0.56,0.93,0.76,0.79,0.85,0.52,0.81,0.6,0.9,0.92
boost.csv,0.46,0.59,0.61,0.7,0.47,0.51,0.64,0.66,0.6,0.85,0.44,0.6,0.54,0.58,0.67
doomlegacy.csv,0.57,0.88,0.95,1.0,0.84,0.44,1.0,0.77,0.51,0.88,0.8,0.63,0.59,0.63,0.9
gpac.csv,0.88,0.86,0.48,0.82,0.82,0.71,1.0,0.67,0.87,0.36,0.88,0.67,0.63,0.96,0.87
kftpgrabber.csv,0.72,0.81,0.76,0.72,0.71,0.34,0.65,0.88,0.91,0.69,0.38,0.75,0.57,1.0,0.91
nativeclient.csv,0.43,0.44,0.7,0.71,0.63,0.5,0.53,0.79,0.52,0.82,0.54,0.62,0.49,0.48,0.45
netatalk.csv,0.63,0.64,0.62,0.63,0.66,0.64,0.44,0.7,0.65,0.8,0.58,0.68,0.57,0.81,0.63
open-ms.csv,0.46,0.77,0.91,0.8,0.74,0.59,0.51,0.89,0.64,0.66,0.68,0.64,0.58,0.63,0.77
openmsx.csv,0.84,0.76,1.0,0.9,0.94,0.83,0.87,0.58,0.71,0.67,0.82,0.94,0.99,0.94,0.86
rosegarden.csv,0.38,0.47,0.48,0.77,0.63,0.5,0.5,0.79,0.71,0.77,0.45,0.81,0.64,0.58,0.69
rsyslog.csv,0.47,0.41,0.83,0.9,0.6,0.52,0.61,0.72,0.73,0.9,0.48,0.82,0.71,0.46,0.5
sandiaportals.csv,0.62,0.68,0.75,0.7,0.59,0.73,0.65,0.66,0.75,0.41,0.49,0.59,0.51,0.3,0.54
xmoto.csv,0.55,0.51,0.68,0.9,0.94,0.51,1.0,0.71,0.73,1.02,0.57,0.57,0.44,1.0,0.7
xqilla.csv,0.7,0.96,0.8,0.75,0.95,0.79,0.76,0.91,0.73,0.06,0.88,0.78,0.87,0.93,0.9
