,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.36,0.03,0.21,0.09,0.64,0.43,0.07,0.06,0.05,0.08,0.53,0.0
emulemorph.csv,0.34,0.0,0.23,0.08,0.43,0.0,0.0,0.0,0.23,0.0,0.0,0.0
jaxen.csv,0.46,0.02,0.24,0.14,0.42,0.73,0.04,0.56,0.08,0.39,0.51,0.0
jvcl.csv,0.1,0.0,0.33,0.12,0.3,0.08,0.0,0.2,0.17,0.25,0.31,0.11
m-m-m.csv,0.43,0.03,0.13,0.14,0.36,0.86,0.03,0.11,0.03,0.39,0.5,0.06
motu.csv,0.48,0.03,0.18,0.08,0.39,0.49,0.0,0.09,0.08,0.52,0.61,0.02
nh3d.csv,0.47,0.8,0.0,0.12,0.41,0.91,0.03,0.11,0.0,0.36,0.57,0.02
sarasvati.csv,0.39,0.02,0.08,0.25,0.21,0.29,0.11,0.13,0.0,0.35,0.37,0.0
wgs-assembler.csv,0.46,0.0,0.16,0.25,0.27,0.04,0.04,0.17,0.24,0.4,0.24,0.07
zabbix.csv,0.51,0.0,0.2,0.15,0.26,0.49,0.0,0.12,0.12,0.3,0.52,0.0
