,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.33,0.01,0.13,0.06,0.54,0.79,0.04,0.04,0.03,0.09,0.46,0.0
emulemorph.csv,0.42,0.0,0.16,0.08,0.41,0.0,0.0,0.0,0.14,0.0,0.0,0.0
jaxen.csv,0.33,0.01,0.14,0.08,0.27,0.81,0.02,0.38,0.04,0.24,0.68,0.0
jvcl.csv,0.67,0.0,0.24,0.17,0.32,1.0,0.0,0.12,0.12,0.67,0.92,0.06
m-m-m.csv,0.37,0.01,0.08,0.08,0.23,0.95,0.02,0.06,0.02,0.25,0.37,0.03
motu.csv,0.42,0.02,0.1,0.04,0.25,0.89,0.0,0.05,0.04,0.44,0.53,0.01
nh3d.csv,0.41,0.67,0.0,0.06,0.26,0.84,0.02,0.06,0.0,0.22,0.4,0.01
sarasvati.csv,0.52,0.01,0.05,0.15,0.18,0.82,0.06,0.07,0.0,0.26,0.29,0.0
wgs-assembler.csv,0.44,0.0,0.11,0.15,0.26,1.0,0.02,0.14,0.15,0.27,0.35,0.04
zabbix.csv,0.38,0.0,0.13,0.08,0.24,0.94,0.0,0.07,0.07,0.21,0.67,0.0
