,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.41,0.63,0.52,0.31,0.79,0.32,0.86,0.23,0.32,0.1,0.6,0.0
emulemorph.csv,0.32,0.0,0.42,0.11,0.5,0.0,0.0,0.0,0.69,0.0,0.0,0.0
jaxen.csv,0.44,0.33,0.69,0.6,0.51,0.46,0.38,0.98,0.43,0.53,0.47,0.0
jvcl.csv,0.06,0.0,0.54,0.11,0.33,0.05,0.0,0.62,0.38,0.18,0.22,0.96
m-m-m.csv,0.51,0.61,0.44,0.61,0.33,0.78,0.21,0.09,0.19,0.43,0.39,0.93
motu.csv,0.56,0.69,0.5,0.41,0.13,0.37,0.0,0.17,0.36,0.65,0.68,0.61
nh3d.csv,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarasvati.csv,0.35,0.51,0.28,0.73,0.28,0.21,0.93,0.63,0.0,0.55,0.38,0.0
wgs-assembler.csv,0.52,0.0,0.41,0.73,0.33,0.02,0.57,0.24,0.69,0.65,0.21,0.93
zabbix.csv,0.57,0.0,0.42,0.65,0.33,0.38,0.0,0.44,0.52,0.51,0.48,0.0
