,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,569.0,198.0,942.0,288.0,193.0,184.0,1340.5,800.0,2232.5,165.0,99.0,1807.0
emulemorph.csv,80.5,459.0,347.0,94.5,95.5,0.0,716.5,0.0,1164.5,584.5,0.0,1785.0
jaxen.csv,99.0,198.0,909.0,98.5,294.0,88.5,2718.5,459.5,4012.5,285.5,99.0,3947.0
jvcl.csv,45.5,0.0,521.0,98.5,292.0,97.5,220.5,550.0,742.0,77.5,99.0,616.5
m-m-m.csv,99.0,99.0,1503.5,197.5,294.0,97.5,2804.5,1454.0,1546.0,285.5,99.0,1359.0
motu.csv,93.5,198.0,1222.5,773.5,294.0,97.5,337.0,1454.0,2185.0,262.5,99.0,4037.5
nh3d.csv,99.0,99.0,0.0,197.5,294.0,97.5,2892.0,1454.0,91.0,285.5,99.0,4960.5
sarasvati.csv,93.5,8635.5,1311.5,483.0,268.5,184.0,1043.5,1446.0,1081.5,447.5,97.5,1027.0
wgs-assembler.csv,90.5,249.5,850.0,98.5,644.5,69.5,2441.5,169.0,1058.5,285.5,98.5,1524.5
zabbix.csv,99.0,647.0,979.0,197.5,95.5,183.0,912.5,630.5,2248.0,281.5,95.5,1630.0
