,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.38,0.75,0.5,0.27,0.79,0.29,1.0,0.2,0.33,0.08,0.63,0.0
emulemorph.csv,0.28,0.0,0.38,0.09,0.46,0.0,0.0,0.0,0.67,0.0,0.0,0.0
jaxen.csv,0.74,1.0,0.81,0.64,0.88,0.67,1.0,1.0,0.67,0.92,0.42,0.0
jvcl.csv,0.05,0.0,0.5,0.09,0.29,0.04,0.0,0.6,0.33,0.15,0.18,1.0
m-m-m.csv,0.51,0.75,0.56,0.91,0.79,0.78,1.0,1.0,0.17,1.0,0.77,1.0
motu.csv,0.56,1.0,0.81,0.45,0.92,0.33,0.0,0.8,0.33,0.62,0.71,1.0
nh3d.csv,0.56,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
sarasvati.csv,0.31,0.5,0.25,0.73,0.25,0.18,1.0,0.8,0.0,0.54,0.49,0.0
wgs-assembler.csv,0.49,0.0,0.38,0.73,0.29,0.02,1.0,0.2,0.67,0.77,0.18,1.0
zabbix.csv,0.79,0.0,0.38,0.73,0.29,0.33,0.0,0.4,0.5,0.54,0.43,0.0
