,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.37,0.53,0.0,0.45,0.51,0.98,0.48,0.65,0.48,0.47,0.43,0.45,0.64,0.41
awemud.csv,0.39,0.68,0.75,0.48,0.3,0.54,0.77,0.73,0.33,0.81,0.53,0.51,0.42,0.44
buddata-ebxml-registry.csv,0.4,0.56,0.42,0.4,0.37,0.4,0.41,0.46,0.31,0.39,0.41,0.32,0.34,0.42
cornerstone.csv,0.88,0.96,0.0,0.93,0.44,0.83,0.91,0.0,0.43,0.84,0.83,0.56,0.55,0.89
firebreath.csv,0.46,0.69,0.89,0.64,0.47,0.64,0.53,0.8,0.39,0.94,0.56,0.5,0.52,0.49
lsb.csv,0.35,0.68,0.45,0.64,0.36,0.58,0.71,0.93,0.53,0.55,0.45,0.41,0.92,0.41
maya-work-in-progress.csv,0.37,0.54,0.58,0.41,0.35,0.39,0.38,0.44,0.32,0.37,0.39,0.36,0.33,0.39
mia.csv,0.94,0.89,0.43,0.75,0.83,0.57,0.92,0.57,0.45,0.91,0.7,0.92,0.83,0.59
open-beos.csv,0.38,0.97,0.44,0.47,0.55,0.51,0.95,0.64,0.52,0.57,0.45,0.91,0.46,0.4
qgis.csv,0.44,0.98,0.44,0.52,0.57,0.48,0.53,0.61,0.36,0.42,0.5,0.51,0.54,0.42
rocrail.csv,0.43,0.75,0.4,0.46,0.47,0.97,0.57,0.86,0.67,0.58,0.53,0.53,0.4,0.41
rtb-team.csv,0.37,0.8,0.5,0.63,0.75,0.73,0.93,0.8,0.57,0.96,0.86,0.86,0.69,0.64
tradelink.csv,0.43,0.66,0.47,0.9,0.95,0.55,0.93,0.88,0.95,0.58,0.5,0.73,0.39,0.92
upp-mirror.csv,0.4,0.58,0.77,0.57,0.37,0.49,0.5,0.65,0.58,0.45,0.5,0.54,0.47,0.36
