,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.39,0.53,0.55,0.48,0.38,0.54,0.68,0.42,0.71,0.42,0.46,0.48,0.39,0.46,0.52
emulemorph.csv,0.92,0.67,0.0,0.53,0.0,0.86,0.67,0.67,0.0,0.89,0.94,0.0,0.0,0.0,0.67
fceugc.csv,0.41,0.5,0.9,0.39,0.5,0.67,0.86,0.72,0.48,0.42,0.62,0.55,0.36,0.69,0.51
gnukeda.csv,0.96,0.53,0.57,0.47,0.35,0.44,0.44,0.93,0.42,0.51,0.49,0.47,0.39,0.72,0.48
gusanos.csv,0.67,0.62,0.38,0.96,0.75,0.97,0.55,0.42,0.8,0.88,0.7,0.44,0.36,0.75,0.47
micomt.csv,0.51,0.43,0.49,0.43,0.43,0.49,0.89,0.42,0.48,0.38,0.5,0.43,0.39,0.4,0.39
modplug.csv,0.37,0.45,0.42,0.42,0.45,0.47,0.41,0.42,0.44,0.47,0.47,0.41,0.43,0.41,0.36
ogre.csv,0.57,0.65,0.53,0.56,0.46,0.45,0.61,0.58,0.44,0.64,0.55,0.45,0.79,0.54,0.42
openfrag.csv,0.38,0.45,0.7,0.43,0.49,0.97,0.92,0.43,0.9,0.45,0.55,0.49,0.39,0.55,0.65
oscarmcmaster.csv,0.39,0.79,0.62,0.49,0.62,0.94,0.57,0.44,0.75,0.92,0.62,0.47,0.38,0.95,0.55
pidgin.csv,0.34,0.55,0.47,0.58,0.67,0.54,0.49,0.49,0.74,0.53,0.56,0.45,0.38,0.46,0.48
repositorium.csv,0.0,0.86,0.5,0.94,0.47,0.52,0.86,0.49,0.59,0.7,0.46,0.53,0.38,0.5,0.72
unimrcp.csv,0.51,0.4,0.4,0.37,0.35,0.45,0.54,0.45,0.41,0.37,0.49,0.43,0.34,0.44,0.41
xapian.csv,0.4,0.44,0.51,0.39,0.41,0.53,0.89,0.55,0.51,0.41,0.5,0.43,0.39,0.69,0.49
xqilla.csv,0.97,0.83,0.91,0.49,0.46,0.66,0.45,0.8,0.45,0.47,0.95,0.63,0.9,0.59,0.6
