,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,1.0,0.06,0.99,0.17,0.51,0.24,0.32,0.76,0.7,0.69,0.84
aztec.csv,0.14,0.2,0.09,0.42,0.13,0.45,0.43,0.05,0.01,0.11,0.82
bl-toolkit.csv,0.18,1.0,0.32,1.0,0.97,0.87,1.0,0.55,0.91,0.61,1.0
clamav.csv,0.45,0.78,1.0,0.19,0.67,0.49,0.22,0.44,0.74,0.84,0.57
fm-classic.csv,0.05,0.0,0.09,0.0,0.0,0.04,0.02,0.02,0.0,0.11,0.02
kml.csv,0.41,0.46,0.91,0.64,0.21,0.71,0.54,0.56,0.4,0.92,0.95
lufa-lib.csv,0.5,0.25,0.41,0.42,0.56,0.47,0.31,0.24,0.76,0.46,0.31
mplayer-ce.csv,0.45,0.43,0.96,0.06,0.23,0.69,0.22,0.47,0.19,0.56,0.33
qmmp.csv,0.36,0.48,0.49,0.39,0.36,0.85,0.92,0.19,0.14,0.64,0.89
xapian.csv,0.73,0.93,0.9,0.28,0.31,0.62,0.89,0.47,0.2,0.74,0.62
xtreemfs.csv,0.27,0.39,0.13,0.64,0.41,0.73,0.66,0.1,0.14,0.23,0.97
