,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.82,0.25,0.08,0.42,0.71,0.81,0.5,0.62,0.4,0.81,0.61
aztec.csv,0.29,0.38,0.2,0.37,0.63,0.6,0.42,0.19,0.2,0.84,0.58
bl-toolkit.csv,0.79,0.14,0.08,0.53,0.65,0.61,0.6,0.42,0.37,0.89,0.62
clamav.csv,0.4,0.09,0.08,0.68,0.59,0.67,0.32,0.64,0.39,0.69,0.55
fm-classic.csv,0.11,0.0,0.5,0.0,0.0,0.41,0.2,0.0,0.07,0.16,0.03
kml.csv,0.77,0.18,0.09,0.57,0.76,0.76,0.61,0.65,0.49,0.9,0.62
lufa-lib.csv,0.74,0.3,0.06,0.48,0.6,0.6,0.65,0.53,0.34,0.87,0.36
mplayer-ce.csv,0.76,0.08,0.08,0.43,0.71,0.72,0.35,0.62,0.57,0.9,0.55
qmmp.csv,0.74,0.16,0.15,0.52,0.68,0.67,0.6,0.71,0.51,0.88,0.61
xapian.csv,0.73,0.13,0.09,0.38,0.52,0.75,0.59,0.58,0.6,0.59,0.57
xtreemfs.csv,0.73,0.26,0.15,0.57,0.75,0.63,0.6,0.34,0.48,0.9,0.62
