,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.2,0.02,0.19,0.15,0.28,0.38,0.22,0.21,0.15,0.5,0.39
biopax.csv,0.91,0.72,0.69,0.62,0.23,0.73,0.89,0.77,0.1,0.97,0.87
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kml.csv,0.54,0.25,0.25,0.31,0.0,0.24,0.42,0.62,0.15,0.63,0.39
les-indemodables.csv,0.14,0.2,0.17,0.04,0.08,0.03,0.0,0.15,0.3,0.28,0.03
metacosm.csv,0.26,0.2,0.11,0.31,0.0,0.16,0.18,0.16,0.15,0.25,0.0
moviesandbox.csv,0.03,0.15,0.32,0.23,0.08,0.54,0.29,0.23,0.25,0.35,0.55
sigil.csv,0.49,0.1,0.14,0.23,0.18,0.03,0.43,0.18,0.05,0.4,0.39
unflobtactical.csv,0.4,0.1,0.19,0.0,0.03,0.14,0.37,0.15,0.25,0.36,0.13
xtreemfs.csv,0.17,0.05,0.13,0.19,0.0,0.3,0.05,0.0,0.05,0.49,0.13
yale.csv,0.43,0.85,0.0,0.65,0.85,0.65,0.52,0.61,1.0,0.16,0.55
