,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.55,0.98,0.41,0.54,0.42,0.65,0.43,0.39,0.24,0.67,0.67
biopax.csv,0.95,0.8,0.78,0.83,0.56,0.98,1.0,0.92,1.0,1.0,0.93
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kml.csv,0.82,0.5,0.52,0.69,0.97,0.69,0.68,0.56,0.48,1.0,0.67
les-indemodables.csv,0.34,0.36,0.3,0.46,0.14,0.35,1.0,0.15,0.24,0.67,0.3
metacosm.csv,0.43,0.23,0.23,0.43,0.36,0.62,0.51,0.62,0.25,0.33,0.89
moviesandbox.csv,0.98,0.36,0.37,0.46,0.33,0.6,0.81,0.73,0.58,0.67,0.59
sigil.csv,0.8,0.45,0.39,0.6,0.53,0.94,0.62,0.79,0.35,0.67,0.67
unflobtactical.csv,0.52,0.43,0.29,1.0,0.42,0.5,0.57,0.6,0.25,0.67,0.22
xtreemfs.csv,0.39,0.09,0.27,0.54,0.14,0.35,0.19,0.99,0.1,0.67,0.3
yale.csv,0.25,0.68,0.92,0.51,0.42,0.33,0.27,0.57,0.7,0.33,0.52
