,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,1.0,28.0,1.0,33.0,6.0,0.0,0.0,1.0,1.0,1.0,32.0,2.0
bscwweasel.csv,199.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,62.0,0.0
capcode.csv,199.0,142.0,190.0,161.0,65.0,0.0,0.0,11.0,4.0,0.0,62.0,2.0
emite.csv,6.0,28.0,3.0,17.0,5.0,5.0,1.0,1.0,1.0,0.0,6.0,0.0
lamp.csv,0.0,0.0,0.0,1.0,2.0,82.0,0.0,3.0,0.0,1.0,4.0,70.0
mecat.csv,199.0,142.0,190.0,161.0,65.0,82.0,147.0,204.0,85.0,0.0,0.0,70.0
nodal.csv,0.0,11.0,3.0,5.0,3.0,3.0,1.0,6.0,0.0,2.0,5.0,1.0
pydev.csv,1.0,24.0,1.0,21.0,10.0,11.0,0.0,6.0,0.0,0.0,17.0,0.0
retromenu.csv,0.0,0.0,2.0,22.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,70.0
smbopensoft.csv,0.0,2.0,2.0,6.0,1.0,5.0,0.0,4.0,2.0,5.0,1.0,0.0
stuproa-cims.csv,1.0,20.0,11.0,19.0,10.0,16.0,1.0,0.0,1.0,3.0,22.0,3.0
thout.csv,0.0,11.0,0.0,36.0,3.0,13.0,1.0,6.0,1.0,0.0,4.0,5.0
