,arcallians.csv,aztec.csv,synergyspace.csv,qmmp.csv,xtreemfs.csv,mplayer-ce.csv
arcallians.csv,0.03,0.9,0.71,0.81,0.87,0.81
aztec.csv,0.93,0.13,0.99,0.89,0.89,0.76
mplayer-ce.csv,0.74,0.68,0.61,0.85,0.79,0.04
qmmp.csv,0.48,0.59,0.76,0.03,0.7,0.95
synergyspace.csv,1.0,1.0,0.12,0.91,0.95,0.84
xtreemfs.csv,0.64,0.63,0.75,0.61,0.03,0.7
