,arcallians.csv,aztec.csv,synergyspace.csv,qmmp.csv,xtreemfs.csv,mplayer-ce.csv
arcallians.csv,0.02,0.21,0.5,0.06,0.16,0.15
aztec.csv,0.68,0.0,0.24,0.06,0.18,0.33
mplayer-ce.csv,0.6,0.57,0.57,0.74,0.46,0.01
qmmp.csv,0.25,0.24,0.39,0.0,0.69,0.94
synergyspace.csv,0.1,0.0,0.0,0.1,0.05,0.18
xtreemfs.csv,0.08,0.09,0.28,0.1,0.03,0.17
